"Election for","Ward 21 - Leven, Kennoway & Largo"
"Date","24 Apr 2020"
"Number to be elected",4
"Valid votes",6369
"Invalid votes",0
"Quota",1274.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","David ALEXANDER (SNP)",,"Graham RITCHIE (C)",,"Craig DUNCAN (Sol)",,"Iain MORRICE (Grn)",,"Steve WOOD (LD)",,"Alistair SUTTIE (SNP)",,"Thomas ADAMS (Lab)",
"Thomas ADAMS (Lab)",872,+7.08630,879.08630,+4.61130,883.69760,+3.25113,886.94873,+14.20259,901.15132,+87.41466,988.56598,+12.58549,1001.15147,-1001.15147,"-",
"David ALEXANDER (SNP)",1506,-232.00000,1274.00000,,1274.00000,,1274.00000,,1274.00000,,1274.00000,,1274.00000,,1274.00000,"Elected"
"Colin DAVIDSON (Lab)",885,+7.85655,892.85655,+7.42662,900.28317,+2.34821,902.63138,+10.85047,913.48185,+196.23841,1109.72026,+14.37451,1124.09477,+848.79513,1972.88990,"Elected"
"Craig DUNCAN (Sol)",25,+2.46480,27.46480,+0.82518,28.28998,-28.28998,"-",,"-",,"-",,"-",,"-",
"Iain MORRICE (Grn)",115,+7.08630,122.08630,+2.18430,124.27060,+3.29967,127.57027,-127.57027,"-",,"-",,"-",,"-",
"Graham RITCHIE (C)",1339,,1339.00000,-65.00000,1274.00000,,1274.00000,,1274.00000,,1274.00000,,1274.00000,,1274.00000,"Elected"
"Alistair SUTTIE (SNP)",1002,+192.87060,1194.87060,+1.31058,1196.18118,+8.69455,1204.87573,+52.12376,1256.99949,+91.96050,1348.95999,-74.95999,1274.00000,,1274.00000,"Elected"
"Steve WOOD (LD)",625,+3.23505,628.23505,+24.75540,652.99045,+3.29124,656.28169,+31.27890,687.56059,-687.56059,"-",,"-",,"-",
"Non-transferable", ,+11.40040,11.40040,+23.88662,35.28702,+7.40518,42.69220,+19.11455,61.80675,+311.94702,373.75377,+47.99999,421.75376,+152.35634,574.11010,
"Totals",6369,,6369.00000,,6369.00000,,6369.00000,,6369.00000,,6369.00000,,6369.00000,,6369.00000
