"Election for","Ward 22 - Buckhaven, Methil & Wemyss Villages"
"Date","24 Apr 2020"
"Number to be elected",4
"Valid votes",5468
"Invalid votes",0
"Quota",1094.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","David GRAHAM (Lab)",,"Eunice CAMERON (Ind)",,"Rory ROBERSON (LD)",,"Stephen FERGUSON (Grn)",,"Ronald HUNTER (Ind)",,"Keith Henry BARTON (C)",,"Ryan SMART (Lab)",,"Leslie BAIN (SNP)",
"Leslie BAIN (SNP)",635,+11.60624,646.60624,+2.34136,648.94760,+4.34136,653.28896,+11.00000,664.28896,+9.34136,673.63032,+9.34136,682.97168,+3.76710,686.73878,-686.73878,"-",
"Keith Henry BARTON (C)",507,+13.31304,520.31304,+2.68272,522.99576,+12.36544,535.36120,+4.34136,539.70256,+27.34136,567.04392,-567.04392,"-",,"-",,"-",
"Ken CALDWELL (SNP)",842,+19.11616,861.11616,+1.00000,862.11616,+2.00000,864.11616,+15.34136,879.45752,+14.34136,893.79888,+10.34136,904.14024,+4.54401,908.68425,+536.02827,1444.71252,"Elected"
"Eunice CAMERON (Ind)",57,+4.77904,61.77904,-61.77904,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Stephen FERGUSON (Grn)",78,+5.46176,83.46176,+9.68272,93.14448,+7.34136,100.48584,-100.48584,"-",,"-",,"-",,"-",,"-",
"David GRAHAM (Lab)",1661,-567.00000,1094.00000,,1094.00000,,1094.00000,,1094.00000,,1094.00000,,1094.00000,,1094.00000,,1094.00000,"Elected"
"Ronald HUNTER (Ind)",137,+11.26488,148.26488,+36.68272,184.94760,+11.00000,195.94760,+19.02408,214.97168,-214.97168,"-",,"-",,"-",,"-",
"John O'BRIEN (SNP)",991,+23.89520,1014.89520,+0.34136,1015.23656,+5.00000,1020.23656,+19.68272,1039.91928,+19.68272,1059.60200,+5.34136,1064.94336,+9.55666,1074.50002,+86.93037,1161.43039,"Elected"
"Rory ROBERSON (LD)",62,+7.50992,69.50992,+1.00000,70.50992,-70.50992,"-",,"-",,"-",,"-",,"-",,"-",
"Ryan SMART (Lab)",498,+416.45920,914.45920,+4.36544,918.82464,+16.73088,935.55552,+11.04816,946.60368,+52.82720,999.43088,+196.16856,1195.59944,-101.59944,1094.00000,,1094.00000,"Elected"
"Non-transferable", ,+53.59456,53.59456,+3.68272,57.27728,+11.73088,69.00816,+20.04816,89.05632,+91.43768,180.49400,+345.85128,526.34528,+83.73167,610.07695,+63.78014,673.85709,
"Totals",5468,,5468.00000,,5468.00000,,5468.00000,,5468.00000,,5468.00000,,5468.00000,,5468.00000,,5468.00000
