"Election for","Ward 1 Linn"
"Date","17 Apr 2020"
"Number to be elected",4
"Valid votes",8800
"Invalid votes",0
"Quota",1761.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10,"Stage",11
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","John COWAN (UKIP)",,"Max BRODIE (Sol)",,"Bobby POLLOCK (Ind)",,"Alan DIGNEY (Grn)",,"Paul LEINSTER (SNP)",,"Glenn ELDER (SNP)",,"Margot CLARK (LD)",,"Cathy MILLIGAN (Ind)",,"Margaret MORGAN (SNP)",,"Alan STEWART (Lab)",
"Euan BLOCKLEY (C)",1395,+15.00000,1410.00000,+1.00000,1411.00000,+4.00000,1415.00000,+11.00000,1426.00000,+3.00000,1429.00000,+0.33150,1429.33150,+151.16575,1580.49725,+32.05525,1612.55250,+0.91869,1613.47119,+43.23135,1656.70254,"Elected"
"Max BRODIE (Sol)",67,+3.00000,70.00000,-70.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Margot CLARK (LD)",676,,676.00000,+2.00000,678.00000,+7.00000,685.00000,+22.00000,707.00000,+7.00000,714.00000,+2.37575,716.37575,-716.37575,"-",,"-",,"-",,"-",
"John COWAN (UKIP)",58,-58.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Malcolm CUNNING (Lab)",1348,+9.00000,1357.00000,+8.00000,1365.00000,+5.00000,1370.00000,+30.00000,1400.00000,+15.00000,1415.00000,+2.26525,1417.26525,+141.16575,1558.43100,+96.38675,1654.81775,+5.74078,1660.55853,+985.91906,2646.47759,"Elected"
"Alan DIGNEY (Grn)",288,+5.00000,293.00000,+10.00000,303.00000,+7.00000,310.00000,-310.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Glenn ELDER (SNP)",1646,+2.00000,1648.00000,+7.00000,1655.00000,,1655.00000,+65.00000,1720.00000,+144.00000,1864.00000,-103.00000,1761.00000,,1761.00000,,1761.00000,,1761.00000,,1761.00000,"Elected"
"Paul LEINSTER (SNP)",448,,448.00000,,448.00000,+2.00000,450.00000,+16.00000,466.00000,-466.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Cathy MILLIGAN (Ind)",744,+8.00000,752.00000,+16.00000,768.00000,+29.00000,797.00000,+48.00000,845.00000,+21.00000,866.00000,+8.17700,874.17700,+63.27625,937.45325,-937.45325,"-",,"-",,"-",
"Margaret MORGAN (SNP)",1032,,1032.00000,+5.00000,1037.00000,+3.00000,1040.00000,+65.00000,1105.00000,+252.00000,1357.00000,+81.71475,1438.71475,+93.71825,1532.43300,+269.86750,1802.30050,-41.30050,1761.00000,,1761.00000,"Elected"
"Bobby POLLOCK (Ind)",69,+3.00000,72.00000,+2.00000,74.00000,-74.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Alan STEWART (Lab)",1029,+5.00000,1034.00000,+5.00000,1039.00000,+8.00000,1047.00000,+23.00000,1070.00000,+8.00000,1078.00000,+1.54700,1079.54700,+93.27625,1172.82325,+106.27625,1279.09950,+5.99737,1285.09687,-1285.09687,"-",
"Non-transferable", ,+8.00000,8.00000,+14.00000,22.00000,+9.00000,31.00000,+30.00000,61.00000,+16.00000,77.00000,+6.58875,83.58875,+173.77350,257.36225,+432.86750,690.22975,+28.64366,718.87341,+255.94646,974.81987,
"Totals",8800,,8800.00000,,8800.00000,,8800.00000,,8800.00000,,8800.00000,,8800.00000,,8800.00000,,8800.00000,,8800.00000,,8800.00000
