"Election for","Ward 3 Greater Pollok"
"Date","17 Apr 2020"
"Number to be elected",4
"Valid votes",8520
"Invalid votes",0
"Quota",1705.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","David MCDONALD (SNP)",,"Saqib AHMED (Lab)",,"Dean WARD (Ind)",,"Mark MCGOWAN (TUSC)",,"Will MILLINSHIP (LD)",,"George LAIRD (Ind)",,"Seonad HOY (Grn)",,"Rhiannon SPEAR (SNP)",,"Rory O'BRIEN (C)",
"Saqib AHMED (Lab)",2213,,2213.00000,-508.00000,1705.00000,,1705.00000,,1705.00000,,1705.00000,,1705.00000,,1705.00000,,1705.00000,,1705.00000,"Elected"
"Seonad HOY (Grn)",200,+33.35966,233.35966,+9.87065,243.23031,+2.29422,245.52453,+27.69265,273.21718,+24.64911,297.86629,+34.77445,332.64074,-332.64074,"-",,"-",,"-",
"Rashid HUSSAIN (Lab)",1039,+44.00636,1083.00636,+424.89705,1507.90341,+3.00000,1510.90341,+11.98287,1522.88628,+32.98287,1555.86915,+35.29950,1591.16865,+62.52520,1653.69385,+11.36138,1665.05523,+441.06689,2106.12212,"Elected"
"George LAIRD (Ind)",163,+9.22714,172.22714,+6.65695,178.88409,+22.58444,201.46853,+11.00400,212.47253,+16.58444,229.05697,-229.05697,"-",,"-",,"-",,"-",
"David MCDONALD (SNP)",2643,-938.00000,1705.00000,,1705.00000,,1705.00000,,1705.00000,,1705.00000,,1705.00000,,1705.00000,,1705.00000,,1705.00000,"Elected"
"Mark MCGOWAN (TUSC)",77,+12.06626,89.06626,+3.21370,92.27996,+3.00000,95.27996,-95.27996,"-",,"-",,"-",,"-",,"-",,"-",
"Will MILLINSHIP (LD)",131,+10.29181,141.29181,+4.36145,145.65326,+5.00000,150.65326,+6.35489,157.00815,-157.00815,"-",,"-",,"-",,"-",,"-",
"Rory O'BRIEN (C)",1188,+10.64670,1198.64670,+9.41155,1208.05825,+3.35489,1211.41314,+6.70978,1218.12292,+34.92220,1253.04512,+44.16888,1297.21400,+31.58444,1328.79844,+1.43998,1330.23842,-1330.23842,"-",
"Rhiannon SPEAR (SNP)",812,+753.78636,1565.78636,+9.64110,1575.42746,+4.41956,1579.84702,+17.54890,1597.39592,+10.19401,1607.58993,+28.00800,1635.59793,+111.26827,1746.86620,-41.86620,1705.00000,,1705.00000,"Elected"
"Dean WARD (Ind)",54,+4.61357,58.61357,+0.91820,59.53177,-59.53177,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+60.00214,60.00214,+39.02935,99.03149,+15.87866,114.91015,+13.98687,128.89702,+37.67552,166.57254,+86.80614,253.37868,+127.26283,380.64151,+29.06484,409.70635,+889.17153,1298.87788,
"Totals",8520,,8520.00000,,8520.00000,,8520.00000,,8520.00000,,8520.00000,,8520.00000,,8520.00000,,8520.00000,,8520.00000
