"Election for","Ward 4 Cardonald"
"Date","17 Apr 2020"
"Number to be elected",4
"Valid votes",9261
"Invalid votes",0
"Quota",1853.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",
"Candidates","Preferences","Elaine MCSPORRAN (SNP)",,"Matt KERR (Lab)",,"Robert Mathieson BARCLAY (UKIP)",,"Lynn SHERIDAN (Sol)",,"Isabel NELSON (LD)",,"Alan SHARKEY (Grn)",,"Joe MURRAY (SNP)",,"Alex WILSON (SNP)",
"Robert Mathieson BARCLAY (UKIP)",118,+0.12544,118.12544,+0.43280,118.55824,-118.55824,"-",,"-",,"-",,"-",,"-",,"-",
"Matt KERR (Lab)",1894,,1894.00000,-41.00000,1853.00000,,1853.00000,,1853.00000,,1853.00000,,1853.00000,,1853.00000,,1853.00000,"Elected"
"Judy LOCKHART (C)",1082,+0.37632,1082.37632,+2.09908,1084.47540,+36.08656,1120.56196,+8.07464,1128.63660,+38.21640,1166.85300,+13.02164,1179.87464,+9.41960,1189.29424,+7.71214,1197.00638,
"Elaine MCSPORRAN (SNP)",1913,-60.00000,1853.00000,,1853.00000,,1853.00000,,1853.00000,,1853.00000,,1853.00000,,1853.00000,,1853.00000,"Elected"
"Joe MURRAY (SNP)",768,+41.61472,809.61472,+1.60136,811.21608,+5.08436,816.30044,+20.34496,836.64540,+10.15900,846.80440,+80.67048,927.47488,-927.47488,"-",,"-",
"Isabel NELSON (LD)",182,+0.43904,182.43904,+1.75284,184.19188,+6.11792,190.30980,+6.07464,196.38444,-196.38444,"-",,"-",,"-",,"-",
"Alan SHARKEY (Grn)",233,+1.34848,234.34848,+0.80068,235.14916,+9.02164,244.17080,+24.25308,268.42388,+40.32020,308.74408,-308.74408,"-",,"-",,"-",
"Lynn SHERIDAN (Sol)",131,+1.12896,132.12896,+0.82232,132.95128,+8.00000,140.95128,-140.95128,"-",,"-",,"-",,"-",,"-",
"Alistair WATSON (Lab)",1607,+1.12896,1608.12896,+28.78120,1636.91016,+18.12984,1655.04000,+22.29856,1677.33856,+54.77684,1732.11540,+49.38952,1781.50492,+47.16952,1828.67444,+83.46984,1912.14428,"Elected"
"Alex WILSON (SNP)",1333,+12.35584,1345.35584,+0.62756,1345.98340,+4.00000,1349.98340,+21.32772,1371.31112,+10.16120,1381.47232,+73.65104,1455.12336,+737.29804,2192.42140,-339.42140,1853.00000,"Elected"
"Non-transferable", ,+1.48224,1.48224,+4.08216,5.56440,+32.11792,37.68232,+38.57768,76.26000,+42.75080,119.01080,+92.01140,211.02220,+133.58772,344.60992,+248.23942,592.84934,
"Totals",9261,,9261.00000,,9261.00000,,9261.00000,,9261.00000,,9261.00000,,9261.00000,,9261.00000,,9261.00000
