"Election for","Ward 6 Pollokshields"
"Date","17 Apr 2020"
"Number to be elected",4
"Valid votes",10288
"Invalid votes",0
"Quota",2058.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Norman MACLEOD (SNP)",,"David MEIKLE (C)",,"Iain CAMERON (UKIP)",,"Ewan HOYLE (LD)",,"Fariha THOMAS (Lab)",,"Hanif RAJA (Lab)",,"Nighet RIAZ (SNP)",
"Iain CAMERON (UKIP)",98,+2.49354,100.49354,+31.72524,132.21878,-132.21878,"-",,"-",,"-",,"-",,"-",
"Ewan HOYLE (LD)",302,+9.26172,311.26172,+71.61216,382.87388,+31.12298,413.99686,-413.99686,"-",,"-",,"-",,"-",
"Norman MACLEOD (SNP)",2504,-446.00000,2058.00000,,2058.00000,,2058.00000,,2058.00000,,2058.00000,,2058.00000,,2058.00000,"Elected"
"David MEIKLE (C)",2370,,2370.00000,-312.00000,2058.00000,,2058.00000,,2058.00000,,2058.00000,,2058.00000,,2058.00000,"Elected"
"Jon MOLYNEUX (Grn)",1399,+62.69472,1461.69472,+20.79912,1482.49384,+14.85738,1497.35122,+147.96087,1645.31209,+82.67718,1727.98927,+58.31994,1786.30921,+974.42652,2760.73573,"Elected"
"Hanif RAJA (Lab)",1552,+18.87966,1570.87966,+36.20100,1607.08066,+14.36952,1621.45018,+79.38858,1700.83876,+677.87555,2378.71431,-320.71431,2058.00000,,2058.00000,"Elected"
"Nighet RIAZ (SNP)",1222,+320.41989,1542.41989,+7.24020,1549.66009,+6.79761,1556.45770,+13.32208,1569.77978,+47.97154,1617.75132,+67.19160,1684.94292,-1684.94292,"-",
"Fariha THOMAS (Lab)",841,+7.83684,848.83684,+29.35572,878.19256,+11.84296,890.03552,+64.16512,954.20064,-954.20064,"-",,"-",,"-",
"Non-transferable", ,+24.41363,24.41363,+115.06656,139.48019,+53.22833,192.70852,+109.16021,301.86873,+145.67637,447.54510,+195.20277,642.74787,+710.51640,1353.26427,
"Totals",10288,,10288.00000,,10288.00000,,10288.00000,,10288.00000,,10288.00000,,10288.00000,,10288.00000
