"Election for","Ward 10 Anderston/City/Yorkhill"
"Date","17 Apr 2020"
"Number to be elected",4
"Valid votes",6010
"Invalid votes",0
"Quota",1203.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Eva BOLANDER (SNP)",,"Philip BRAAT (Lab)",,"Gordon KEANE (Ind)",,"Gerry CREECHAN Ind)",,"James HARRISON (LD)",,"Christy MEARNS (Grn)",,"Faten HAMEED (Lab)",
"Eva BOLANDER (SNP)",1591,-388.00000,1203.00000,,1203.00000,,1203.00000,,1203.00000,,1203.00000,,1203.00000,,1203.00000,"Elected"
"Philip BRAAT (Lab)",1328,,1328.00000,-125.00000,1203.00000,,1203.00000,,1203.00000,,1203.00000,,1203.00000,,1203.00000,"Elected"
"Gerry CREECHAN Ind)",55,+6.82836,61.82836,+3.20008,65.02844,+11.43211,76.46055,-76.46055,"-",,"-",,"-",,"-",
"Faten HAMEED (Lab)",385,+9.99867,394.99867,+75.29600,470.29467,+2.00000,472.29467,+3.71130,476.00597,+34.46743,510.47340,+9.75534,520.22874,-520.22874,"-",
"James HARRISON (LD)",151,+3.90192,154.90192,+5.27072,160.17264,+2.24387,162.41651,+6.33799,168.75450,-168.75450,"-",,"-",,"-",
"Gordon KEANE (Ind)",30,+1.95096,31.95096,+0.37648,32.32744,-32.32744,"-",,"-",,"-",,"-",,"-",
"Christy MEARNS (Grn)",1101,+45.11595,1146.11595,+9.41200,1155.52795,+5.48774,1161.01569,+26.50171,1187.51740,+66.78090,1254.29830,-51.29830,1203.00000,,1203.00000,"Elected"
"Angus MILLAR (SNP)",775,+297.52140,1072.52140,+5.92956,1078.45096,+2.48774,1080.93870,+9.42156,1090.36026,+8.01397,1098.37423,+28.90393,1127.27816,+96.91327,1224.19143,"Elected"
"Cameron STEWART (C)",594,+3.17031,597.17031,+7.24724,604.41755,+3.09412,607.51167,+13.28236,620.79403,+28.41180,649.20583,+1.63924,650.84507,+65.85706,716.70213,
"Non-transferable", ,+19.51243,19.51243,+18.26792,37.78035,+5.58186,43.36221,+17.20563,60.56784,+31.08040,91.64824,+10.99979,102.64803,+357.45841,460.10644,
"Totals",6010,,6010.00000,,6010.00000,,6010.00000,,6010.00000,,6010.00000,,6010.00000,,6010.00000
