"Election for","Ward 11 Hillhead"
"Date","17 Apr 2020"
"Number to be elected",3
"Valid votes",6704
"Invalid votes",0
"Quota",1677.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Martha WARDROP (Grn)",,"Antony SAMMEROFF (Libtn)",,"Douglas TIMMINS (Ind)",,"Matthew CLARK (LD)",,"Martyn MCINTYRE (C)",,"Hanzala MALIK (Lab)",,"Caroline WELSH (SNP)",
"Ken ANDREW (SNP)",1508,+8.04082,1516.04082,+3.00000,1519.04082,+3.07158,1522.11240,+23.02598,1545.13838,+30.02386,1575.16224,+49.21464,1624.37688,+1007.73676,2632.11364,"Elected"
"Matthew CLARK (LD)",298,+5.60710,303.60710,+4.07158,307.67868,+4.02386,311.70254,-311.70254,"-",,"-",,"-",,"-",
"Hanzala MALIK (Lab)",1457,+7.22958,1464.22958,+1.00000,1465.22958,+4.07158,1469.30116,+156.00424,1625.30540,+310.26246,1935.56786,-258.56786,1677.00000,,1677.00000,"Elected"
"Martyn MCINTYRE (C)",680,+0.66808,680.66808,+6.02386,686.69194,+7.02386,693.71580,+50.62036,744.33616,-744.33616,"-",,"-",,"-",
"Antony SAMMEROFF (Libtn)",26,+0.23860,26.23860,-26.23860,"-",,"-",,"-",,"-",,"-",,"-",
"Douglas TIMMINS (Ind)",34,+0.47720,34.47720,+3.04772,37.52492,-37.52492,"-",,"-",,"-",,"-",,"-",
"Martha WARDROP (Grn)",1718,-41.00000,1677.00000,,1677.00000,,1677.00000,,1677.00000,,1677.00000,,1677.00000,,1677.00000,"Elected"
"Caroline WELSH (SNP)",983,+15.53286,998.53286,+2.09544,1000.62830,+4.19088,1004.81918,+25.95440,1030.77358,+16.09544,1046.86902,+29.58792,1076.45694,-1076.45694,"-",
"Non-transferable", ,+3.20576,3.20576,+7.00000,10.20576,+15.14316,25.34892,+56.09756,81.44648,+387.95440,469.40088,+179.76530,649.16618,+68.72018,717.88636,
"Totals",6704,,6704.00000,,6704.00000,,6704.00000,,6704.00000,,6704.00000,,6704.00000,,6704.00000
