"Election for","Ward 13 Garscadden/Scotstounhill"
"Date","17 Apr 2020"
"Number to be elected",4
"Valid votes",8688
"Invalid votes",0
"Quota",1738.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Bill BUTLER (Lab)",,"Michael CULLEN (SNP)",,"Samuel COOK (Sol)",,"Gisela ALLEN (UKIP)",,"David WALKER (LD)",,"Gillian MACDONALD (Grn)",,"Roza SALIH (SNP)",,"Chris CUNNINGHAM (SNP)",,"Tariq PARVEZ (C)",
"Gisela ALLEN (UKIP)",106,+4.04840,110.04840,+0.01484,110.06324,+4.00000,114.06324,-114.06324,"-",,"-",,"-",,"-",,"-",,"-",
"Bill BUTLER (Lab)",2020,-282.00000,1738.00000,,1738.00000,,1738.00000,,1738.00000,,1738.00000,,1738.00000,,1738.00000,,1738.00000,,1738.00000,"Elected"
"Samuel COOK (Sol)",62,+3.21080,65.21080,+0.15582,65.36662,-65.36662,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Michael CULLEN (SNP)",1751,,1751.00000,-13.00000,1738.00000,,1738.00000,,1738.00000,,1738.00000,,1738.00000,,1738.00000,,1738.00000,,1738.00000,"Elected"
"Chris CUNNINGHAM (SNP)",1221,+12.56400,1233.56400,+10.02442,1243.58842,+18.33856,1261.92698,+7.42622,1269.35320,+13.00000,1282.35320,+142.47158,1424.82478,+920.65190,2345.47668,-607.47668,1738.00000,,1738.00000,"Elected"
"Gillian MACDONALD (Grn)",439,+6.28200,445.28200,+0.42294,445.70494,+14.69800,460.40294,+18.27920,478.68214,+46.55840,525.24054,-525.24054,"-",,"-",,"-",,"-",
"Eva MURRAY (Lab)",912,+205.21200,1117.21200,+0.25228,1117.46428,+6.14648,1123.61076,+17.23360,1140.84436,+43.11680,1183.96116,+109.39492,1293.35608,+47.61776,1340.97384,+165.32937,1506.30321,+468.95237,1975.25558,"Elected"
"Tariq PARVEZ (C)",1060,+10.74920,1070.74920,+0.05936,1070.80856,+2.13960,1072.94816,+35.13960,1108.08776,+53.83760,1161.92536,+29.42622,1191.35158,+12.00000,1203.35158,+14.31147,1217.66305,-1217.66305,"-",
"Roza SALIH (SNP)",926,+1.95440,927.95440,+1.46174,929.41614,+5.16186,934.57800,+1.00000,935.57800,+6.13960,941.71760,+125.19896,1066.91656,-1066.91656,"-",,"-",,"-",
"David WALKER (LD)",191,+3.62960,194.62960,+0.01484,194.64444,+3.00000,197.64444,+10.00000,207.64444,-207.64444,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+34.34960,34.34960,+0.59376,34.94336,+11.88212,46.82548,+24.98462,71.81010,+44.99204,116.80214,+118.74886,235.55100,+86.64690,322.19790,+427.83584,750.03374,+748.71068,1498.74442,
"Totals",8688,,8688.00000,,8688.00000,,8688.00000,,8688.00000,,8688.00000,,8688.00000,,8688.00000,,8688.00000,,8688.00000
