"Election for","Ward 14 Drumchapel/Anniesland"
"Date","17 Apr 2020"
"Number to be elected",4
"Valid votes",7534
"Invalid votes",0
"Quota",1507.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Paul CAREY (Lab)",,"Malcolm BALFOUR (SNP)",,"Gary KELLY (Sol)",,"Joe MEEHAN (SSP)",,"Bryan FREE (UKIP)",,"Louisa MCGUIGAN (Grn)",,"Malcolm MITCHELL (SNP)",,"Elspeth KERR (SNP)",,"Patrick LOGUE (C)",
"Malcolm BALFOUR (SNP)",1842,,1842.00000,-335.00000,1507.00000,,1507.00000,,1507.00000,,1507.00000,,1507.00000,,1507.00000,,1507.00000,,1507.00000,"Elected"
"Paul CAREY (Lab)",1871,-364.00000,1507.00000,,1507.00000,,1507.00000,,1507.00000,,1507.00000,,1507.00000,,1507.00000,,1507.00000,,1507.00000,"Elected"
"Bryan FREE (UKIP)",94,+7.39252,101.39252,+4.36464,105.75716,+0.57094,106.32810,+0.18186,106.50996,-106.50996,"-",,"-",,"-",,"-",,"-",
"Gary KELLY (Sol)",35,+7.00344,42.00344,+6.54696,48.55040,-48.55040,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Elspeth KERR (SNP)",827,+22.17756,849.17756,+224.41524,1073.59280,+13.16770,1086.76050,+8.33642,1095.09692,+6.12966,1101.22658,+112.19444,1213.42102,+750.12562,1963.54664,-456.54664,1507.00000,,1507.00000,"Elected"
"Patrick LOGUE (C)",873,+22.56664,895.56664,+2.54604,898.11268,+5.14188,903.25456,+1.37640,904.63096,+40.49098,945.12194,+17.57094,962.69288,+3.55826,966.25114,+14.97979,981.23093,-981.23093,"-",
"Louisa MCGUIGAN (Grn)",322,+9.53246,331.53246,+16.73112,348.26358,+5.67478,353.93836,+15.94734,369.88570,+9.76548,379.65118,-379.65118,"-",,"-",,"-",,"-",
"Anne MCTAGGART (Lab)",941,+236.56064,1177.56064,+11.45718,1189.01782,+5.92004,1194.93786,+18.36178,1213.29964,+15.32180,1228.62144,+79.92930,1308.55074,+18.63526,1327.18600,+129.33153,1456.51753,+419.96502,1876.48255,"Elected"
"Joe MEEHAN (SSP)",51,+5.25258,56.25258,+2.00046,58.25304,+5.57094,63.82398,-63.82398,"-",,"-",,"-",,"-",,"-",,"-",
"Malcolm MITCHELL (SNP)",678,+4.08534,682.08534,+51.46638,733.55172,+5.09116,738.64288,+8.75280,747.39568,+2.36372,749.75940,+79.53234,829.29174,-829.29174,"-",,"-",,"-",
"Non-transferable", ,+49.42882,49.42882,+15.47198,64.90080,+7.41296,72.31376,+10.86738,83.18114,+32.43832,115.61946,+90.42416,206.04362,+56.97260,263.01622,+312.23532,575.25154,+561.26591,1136.51745,
"Totals",7534,,7534.00000,,7534.00000,,7534.00000,,7534.00000,,7534.00000,,7534.00000,,7534.00000,,7534.00000,,7534.00000
