"Election for","Ward 16 Canal"
"Date","17 Apr 2020"
"Number to be elected",4
"Valid votes",5771
"Invalid votes",0
"Quota",1155.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10,"Stage",11
,"First","Surplus of",,"Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Allan GOW (SNP)",,"Gary GRAY (Lab)",,"Jacqueline MCLAREN (SNP)",,"Amjad MIRZA (Ind)",,"Calum SHEPHERD (LD)",,"Stuart James MASKELL (UKIP)",,"Angela MCCORMICK (TUSC)",,"Andrew SMITH (Grn)",,"Billy MCALLISTER (Ind)",,"Esme CLARK (C)",
"Esme CLARK (C)",510,+6.29299,516.29299,+12.98460,529.27759,+0.26892,529.54651,+2.02696,531.57347,+6.67135,538.24482,+18.64923,556.89405,+5.01786,561.91191,+21.32494,583.23685,+53.20693,636.44378,-636.44378,"-",
"Allan GOW (SNP)",1727,-572.00000,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,"Elected"
"Gary GRAY (Lab)",1474,,1474.00000,-319.00000,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,"Elected"
"Stuart James MASKELL (UKIP)",64,+3.64331,67.64331,+5.62666,73.26997,+0.45713,73.72710,+0.21641,73.94351,+1.00000,74.94351,-74.94351,"-",,"-",,"-",,"-",,"-",
"Billy MCALLISTER (Ind)",311,+21.52865,332.52865,+11.25332,343.78197,+2.51868,346.30065,+7.58361,353.88426,+5.21641,359.10067,+12.01616,371.11683,+18.61193,389.72876,+59.80733,449.53609,-449.53609,"-",,"-",
"Angela MCCORMICK (TUSC)",62,+7.28662,69.28662,+7.79076,77.07738,+0.92302,78.00040,+6.89260,84.89300,+2.43282,87.32582,+7.65816,94.98398,-94.98398,"-",,"-",,"-",,"-",
"Jacqueline MCLAREN (SNP)",720,+467.00610,1187.00610,,1187.00610,-32.00610,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,,1155.00000,"Elected"
"Amjad MIRZA (Ind)",54,+2.31847,56.31847,+3.89538,60.21385,+0.77138,60.98523,-60.98523,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Robert MOONEY (Lab)",518,+8.28025,526.28025,+220.95461,747.23486,+2.44656,749.68142,+6.11777,755.79919,+13.91939,769.71858,+8.85501,778.57359,+13.51267,792.08626,+97.50733,889.59359,+125.73738,1015.33097,+179.92153,1195.25250,"Elected"
"Calum SHEPHERD (LD)",56,+1.65605,57.65605,+4.32820,61.98425,+0.57356,62.55781,+1.00000,63.55781,-63.55781,"-",,"-",,"-",,"-",,"-",,"-",
"Andrew SMITH (Grn)",275,+22.52228,297.52228,+6.49230,304.01458,+11.88104,315.89562,+4.25683,320.15245,+19.16169,339.31414,+4.38496,343.69910,+23.88755,367.58665,-367.58665,"-",,"-",,"-",
"Non-transferable", ,+31.46528,31.46528,+45.67417,77.13945,+12.16581,89.30526,+32.89105,122.19631,+15.15615,137.35246,+23.37999,160.73245,+33.95397,194.68642,+188.94705,383.63347,+270.59178,654.22525,+456.52225,1110.74750,
"Totals",5771,,5771.00000,,5771.00000,,5771.00000,,5771.00000,,5771.00000,,5771.00000,,5771.00000,,5771.00000,,5771.00000,,5771.00000
