"Election for","Ward 18 East Centre"
"Date","17 Apr 2020"
"Number to be elected",4
"Valid votes",7094
"Invalid votes",0
"Quota",1419.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Frank DOCHERTY (Lab)",,"Annette CHRISTIE (SNP)",,"Matt DOBSON (TUSC)",,"Andrew MCCULLAGH (Ind)",,"Kenneth WHYTE (Grn)",,"Mark COBURN (SNP)",,"Russell ROBERTSON (SNP)",,"Maria WELLS (C)",
"Annette CHRISTIE (SNP)",1578,,1578.00000,-159.00000,1419.00000,,1419.00000,,1419.00000,,1419.00000,,1419.00000,,1419.00000,,1419.00000,"Elected"
"Mark COBURN (SNP)",696,+8.69340,704.69340,+98.94632,803.63972,+6.75118,810.39090,+6.79358,817.18448,+62.69552,879.88000,-879.88000,"-",,"-",,"-",
"Matt DOBSON (TUSC)",80,+9.85252,89.85252,+2.11596,91.96848,-91.96848,"-",,"-",,"-",,"-",,"-",,"-",
"Frank DOCHERTY (Lab)",1998,-579.00000,1419.00000,,1419.00000,,1419.00000,,1419.00000,,1419.00000,,1419.00000,,1419.00000,,1419.00000,"Elected"
"Marie GARRITY (Lab)",571,+479.00634,1050.00634,+2.51900,1052.52534,+24.93876,1077.46410,+13.12922,1090.59332,+45.12922,1135.72254,+34.20328,1169.92582,+69.86697,1239.79279,+419.88065,1659.67344,"Elected"
"Andrew MCCULLAGH (Ind)",87,+4.63648,91.63648,+1.61216,93.24864,+12.36064,105.60928,-105.60928,"-",,"-",,"-",,"-",,"-",
"Russell ROBERTSON (SNP)",945,+10.72186,955.72186,+40.30400,996.02586,+5.40304,1001.42890,+10.49130,1011.92020,+38.39814,1050.31834,+737.47784,1787.79618,-368.79618,1419.00000,,1419.00000,"Elected"
"Maria WELLS (C)",950,+13.61966,963.61966,+0.90684,964.52650,+7.28978,971.81628,+19.28978,991.10606,+25.59206,1016.69812,+11.19662,1027.89474,+9.85977,1037.75451,-1037.75451,"-",
"Kenneth WHYTE (Grn)",189,+5.79560,194.79560,+4.93724,199.73284,+16.30228,216.03512,+34.40304,250.43816,-250.43816,"-",,"-",,"-",,"-",
"Non-transferable", ,+46.67414,46.67414,+7.65848,54.33262,+18.92280,73.25542,+21.50236,94.75778,+78.62322,173.38100,+97.00226,270.38326,+289.06944,559.45270,+617.87386,1177.32656,
"Totals",7094,,7094.00000,,7094.00000,,7094.00000,,7094.00000,,7094.00000,,7094.00000,,7094.00000,,7094.00000
