"Election for","Ward 19 Shettleston"
"Date","18 Apr 2020"
"Number to be elected",4
"Valid votes",7556
"Invalid votes",0
"Quota",1512.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10,"Stage",11
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Frank MCAVEETY (Lab)",,"Paul CORRAN (Ind)",,"Steven MARSHALL (SDP)",,"Jamie COCOZZA (TUSC)",,"Timothy POLLARD (LD)",,"Jamie ROBERTSON (UKIP)",,"Kevin CAMPBELL (Grn)",,"ALEX KERR (SNP)",,"Laura DOHERTY (SNP)",,"Anne SIMPSON (Lab)",
"Kevin CAMPBELL (Grn)",222,+3.07560,225.07560,+6.00000,231.07560,+3.00000,234.07560,+15.20504,249.28064,+16.20504,265.48568,+9.00000,274.48568,-274.48568,"-",,"-",,"-",,"-",
"Jamie COCOZZA (TUSC)",60,+3.28064,63.28064,+4.00000,67.28064,+2.20504,69.48568,-69.48568,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Paul CORRAN (Ind)",41,+0.61512,41.61512,-41.61512,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Laura DOHERTY (SNP)",1356,+8.81672,1364.81672,+3.20504,1368.02176,+2.41008,1370.43184,+9.20504,1379.63688,+5.20504,1384.84192,+3.00000,1387.84192,+89.82016,1477.66208,+122.61512,1600.27720,-88.27720,1512.00000,,1512.00000,"Elected"
"Michelle FERNS (SNP)",773,+5.94616,778.94616,+1.00000,779.94616,+3.00000,782.94616,+2.20504,785.15120,,785.15120,+1.00000,786.15120,+25.20504,811.35624,+566.25544,1377.61168,+76.12497,1453.73665,+143.87442,1597.61107,"Elected"
"ALEX KERR (SNP)",724,+5.12600,729.12600,+2.00000,731.12600,+5.41008,736.53608,+3.41008,739.94616,+4.00000,743.94616,+7.20504,751.15120,+23.00000,774.15120,-774.15120,"-",,"-",,"-",
"THOMAS KERR (C)",1368,+13.94272,1381.94272,+9.00000,1390.94272,+3.41008,1394.35280,+5.00000,1399.35280,+10.20504,1409.55784,+38.82016,1448.37800,+14.00000,1462.37800,+6.00000,1468.37800,+1.07066,1469.44866,+201.97936,1671.42802,"Elected"
"Steven MARSHALL (SDP)",51,+3.28064,54.28064,+2.20504,56.48568,-56.48568,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Frank MCAVEETY (Lab)",1902,-390.00000,1512.00000,,1512.00000,,1512.00000,,1512.00000,,1512.00000,,1512.00000,,1512.00000,,1512.00000,,1512.00000,,1512.00000,"Elected"
"Timothy POLLARD (LD)",82,+5.74112,87.74112,+1.00000,88.74112,+6.20504,94.94616,+1.20504,96.15120,-96.15120,"-",,"-",,"-",,"-",,"-",,"-",
"Jamie ROBERTSON (UKIP)",105,+5.74112,110.74112,+1.00000,111.74112,+9.00000,120.74112,+2.20504,122.94616,+6.41008,129.35624,-129.35624,"-",,"-",,"-",,"-",,"-",
"Anne SIMPSON (Lab)",872,+290.13160,1162.13160,+2.00000,1164.13160,+9.43528,1173.56688,+11.23024,1184.79712,+29.89576,1214.69288,+24.28064,1238.97352,+36.23024,1275.20376,+12.23024,1287.43400,+2.46236,1289.89636,-1289.89636,"-",
"Non-transferable", ,+44.30256,44.30256,+10.20504,54.50760,+12.41008,66.91768,+19.82016,86.73784,+24.23024,110.96808,+46.05040,157.01848,+86.23024,243.24872,+67.05040,310.29912,+8.61921,318.91833,+944.04258,1262.96091,
"Totals",7556,,7556.00000,,7556.00000,,7556.00000,,7556.00000,,7556.00000,,7556.00000,,7556.00000,,7556.00000,,7556.00000,,7556.00000
