"Election for","Ward 20 Baillieston"
"Date","17 Apr 2020"
"Number to be elected",3
"Valid votes",6935
"Invalid votes",0
"Quota",1734.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Elaine BALLANTYNE (SNP)",,"Scott MCKELVIE (Libtn)",,"Liam MCLAUGHLAN (SSP)",,"Richard STALLEY (LD)",,"Kayleigh VAN DONGEN (Grn)",,"Theresa KEENAN (Lab)",,"Jim COLEMAN (Lab)",,"David TURNER (SNP)",
"Elaine BALLANTYNE (SNP)",2263,-529.00000,1734.00000,,1734.00000,,1734.00000,,1734.00000,,1734.00000,,1734.00000,,1734.00000,,1734.00000,"Elected"
"Phillip CHARLES (C)",1454,+9.81792,1463.81792,+2.00000,1465.81792,+3.00000,1468.81792,+23.23376,1492.05168,+15.23376,1507.28544,+17.70128,1524.98672,+65.88337,1590.87009,+293.68116,1884.55125,"Elected"
"Jim COLEMAN (Lab)",1562,+46.51824,1608.51824,+1.46752,1609.98576,+8.70128,1618.68704,+26.00000,1644.68704,+25.27264,1669.95968,+363.03888,2032.99856,-298.99856,1734.00000,,1734.00000,"Elected"
"Theresa KEENAN (Lab)",436,+12.15552,448.15552,+2.46752,450.62304,+7.23376,457.85680,+11.00000,468.85680,+22.93504,491.79184,-491.79184,"-",,"-",,"-",
"Scott MCKELVIE (Libtn)",20,+1.87008,21.87008,-21.87008,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Liam MCLAUGHLAN (SSP)",81,+5.84400,86.84400,+1.00000,87.84400,-87.84400,"-",,"-",,"-",,"-",,"-",,"-",
"Richard STALLEY (LD)",133,+3.74016,136.74016,+4.23376,140.97392,+3.00000,143.97392,-143.97392,"-",,"-",,"-",,"-",,"-",
"David TURNER (SNP)",827,+397.62576,1224.62576,+3.70128,1228.32704,+21.50640,1249.83344,+12.57136,1262.40480,+100.25936,1362.66416,+24.07776,1386.74192,+34.09630,1420.83822,-1420.83822,"-",
"Kayleigh VAN DONGEN (Grn)",159,+21.97344,180.97344,+1.00000,181.97344,+31.16880,213.14224,+29.93504,243.07728,-243.07728,"-",,"-",,"-",,"-",
"Non-transferable", ,+29.45488,29.45488,+6.00000,35.45488,+13.23376,48.68864,+41.23376,89.92240,+79.37648,169.29888,+86.97392,256.27280,+199.01889,455.29169,+1127.15706,1582.44875,
"Totals",6935,,6935.00000,,6935.00000,,6935.00000,,6935.00000,,6935.00000,,6935.00000,,6935.00000,,6935.00000
