"Election for","Ward 21 North East"
"Date","17 Apr 2020"
"Number to be elected",3
"Valid votes",4315
"Invalid votes",0
"Quota",1079.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Maureen BURKE (Lab)",,"Jenny KIERNAN (Sol)",,"Carole URE (Grn)",,"Stephen DOCHERTY (Lab)",,"Gerry BOYLE (Ind)",,"Ruairi KELLY (SNP)",,"Frances HOWELL (C)",
"Gerry BOYLE (Ind)",427,+5.77360,432.77360,+4.24744,437.02104,+15.32992,452.35096,+82.12456,534.47552,-534.47552,"-",,"-",,"-",
"Maureen BURKE (Lab)",1176,-97.00000,1079.00000,,1079.00000,,1079.00000,,1079.00000,,1079.00000,,1079.00000,,1079.00000,"Elected"
"Stephen DOCHERTY (Lab)",342,+69.77808,411.77808,+3.32992,415.10800,+23.57736,438.68536,-438.68536,"-",,"-",,"-",,"-",
"Frances HOWELL (C)",524,+3.05176,527.05176,+1.00000,528.05176,+15.00000,543.05176,+64.72240,607.77416,+76.47440,684.24856,+0.71490,684.96346,-684.96346,"-",
"Ruairi KELLY (SNP)",971,+3.71160,974.71160,+5.24744,979.95904,+12.00000,991.95904,+39.02104,1030.98008,+129.64960,1160.62968,-81.62968,1079.00000,,1079.00000,"Elected"
"Jenny KIERNAN (Sol)",34,+1.15472,35.15472,-35.15472,"-",,"-",,"-",,"-",,"-",,"-",
"Mandy MORGAN (SNP)",739,+1.97952,740.97952,+3.00000,743.97952,+27.08248,771.06200,+21.80432,792.86632,+79.07224,871.93856,+68.48544,940.42400,+95.26411,1035.68811,"Elected"
"Carole URE (Grn)",102,+1.23720,103.23720,+6.16496,109.40216,-109.40216,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+10.31352,10.31352,+12.16496,22.47848,+16.41240,38.89088,+231.01304,269.90392,+249.27928,519.18320,+12.42934,531.61254,+589.69935,1121.31189,
"Totals",4315,,4315.00000,,4315.00000,,4315.00000,,4315.00000,,4315.00000,,4315.00000,,4315.00000
