"Election for","Ward 1 - North, West and Central Sutherland"
"Date","10 Apr 2020"
"Number to be elected",3
"Valid votes",2807
"Invalid votes",0
"Quota",702.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Brendan O'HANRAHAN (Ind)",,"Michael SIMPSON (Ind)",,"William SINCLAIR (Lab)",,"Malcolm BANGOR-JONES (Ind)",,"Russell TAYLOR (C)",
"Malcolm BANGOR-JONES (Ind)",311,+16.00000,327.00000,+14.00000,341.00000,+26.00000,367.00000,-367.00000,"-",,"-",
"Kirsteen CURRIE (SNP)",556,+8.00000,564.00000,+7.00000,571.00000,+41.00000,612.00000,+69.00000,681.00000,+8.00000,689.00000,"Elected"
"Hugh MORRISON (Ind)",473,+7.00000,480.00000,+41.00000,521.00000,+35.00000,556.00000,+113.00000,669.00000,+135.00000,804.00000,"Elected"
"Linda MUNRO (LD)",504,+6.00000,510.00000,+11.00000,521.00000,+66.00000,587.00000,+84.00000,671.00000,+228.00000,899.00000,"Elected"
"Brendan O'HANRAHAN (Ind)",52,-52.00000,"-",,"-",,"-",,"-",,"-",
"Michael SIMPSON (Ind)",89,+2.00000,91.00000,-91.00000,"-",,"-",,"-",,"-",
"William SINCLAIR (Lab)",265,+4.00000,269.00000,+5.00000,274.00000,-274.00000,"-",,"-",,"-",
"Russell TAYLOR (C)",557,+4.00000,561.00000,+4.00000,565.00000,+57.00000,622.00000,+36.00000,658.00000,-658.00000,"-",
"Non-transferable", ,+5.00000,5.00000,+9.00000,14.00000,+49.00000,63.00000,+65.00000,128.00000,+287.00000,415.00000,
"Totals",2807,,2807.00000,,2807.00000,,2807.00000,,2807.00000,,2807.00000
