"Election for","Ward 3 - Wick and East Caithness"
"Date","10 Apr 2020"
"Number to be elected",4
"Valid votes",4676
"Invalid votes",0
"Quota",936.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","A.I. Willie MACKAY (Ind)",,"NICOLA SINCLAIR (Ind)",,"Luke GRAHAM (LD)",,"Catherine PATTERSON (Ind)",,"Linda MALIK (Ind)",,"Bill FERNIE (Ind)",,"Neil MACDONALD (Lab)",
"Raymond BREMNER (SNP)",549,+8.20248,557.20248,+1.69865,558.90113,+17.72711,576.62824,+23.62195,600.25019,+54.87087,655.12106,+67.60503,722.72609,+108.00060,830.72669,"Elected"
"Bill FERNIE (Ind)",327,+26.39516,353.39516,+7.53175,360.92691,+35.46323,396.39014,+40.02364,436.41378,+81.08834,517.50212,-517.50212,"-",,"-",
"Luke GRAHAM (LD)",172,+5.04768,177.04768,+0.83330,177.88098,-177.88098,"-",,"-",,"-",,"-",,"-",
"Neil MACDONALD (Lab)",404,+12.51404,416.51404,+3.23705,419.75109,+34.92842,454.67951,+40.01556,494.69507,+61.56194,556.25701,+114.41589,670.67290,-670.67290,"-",
"A.I. Willie MACKAY (Ind)",1046,-110.00000,936.00000,,936.00000,,936.00000,,936.00000,,936.00000,,936.00000,,936.00000,"Elected"
"Linda MALIK (Ind)",338,+12.93468,350.93468,+5.64080,356.57548,+12.34753,368.92301,+55.01064,423.93365,-423.93365,"-",,"-",,"-",
"Catherine PATTERSON (Ind)",224,+9.04376,233.04376,+4.87160,237.91536,+9.21032,247.12568,-247.12568,"-",,"-",,"-",,"-",
"ANDREW SINCLAIR (C)",649,+17.24624,666.24624,+2.98065,669.22689,+39.17980,708.40669,+26.67857,735.08526,+87.11324,822.19850,+96.96965,919.16815,+128.14988,1047.31803,"Elected"
"NICOLA SINCLAIR (Ind)",967,,967.00000,-31.00000,936.00000,,936.00000,,936.00000,,936.00000,,936.00000,,936.00000,"Elected"
"Non-transferable", ,+18.61596,18.61596,+4.20620,22.82216,+29.02457,51.84673,+61.77532,113.62205,+139.29926,252.92131,+238.51155,491.43286,+434.52242,925.95528,
"Totals",4676,,4676.00000,,4676.00000,,4676.00000,,4676.00000,,4676.00000,,4676.00000,,4676.00000
