"Election for","Ward 5 - Wester Ross, Strathpeffer and Lochalsh"
"Date","10 Apr 2020"
"Number to be elected",4
"Valid votes",5620
"Invalid votes",0
"Quota",1125.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Christopher Alan BIRT (Lab)",,"Alexander MACINNES (SNP)",,"Ian COCKBURN (SNP)",,"Richard GREENE (Ind)",,"Derek MACLEOD (C)",,"Biz CAMPBELL (Ind)",,"Topher DAWSON (Grn)",
"Christopher Alan BIRT (Lab)",285,-285.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Biz CAMPBELL (Ind)",796,+47.00000,843.00000,+33.00000,876.00000,+23.76360,899.76360,+246.05532,1145.81892,,1145.81892,-20.81892,1125.00000,,1125.00000,"Elected"
"Ian COCKBURN (SNP)",859,+28.00000,887.00000,+468.00000,1355.00000,-230.00000,1125.00000,,1125.00000,,1125.00000,,1125.00000,,1125.00000,"Elected"
"Topher DAWSON (Grn)",628,+46.00000,674.00000,+47.00000,721.00000,+118.13904,839.13904,+89.24350,928.38254,+6.51556,934.89810,+3.60812,938.50622,-938.50622,"-",
"Richard GREENE (Ind)",656,+17.00000,673.00000,+13.00000,686.00000,+13.91868,699.91868,-699.91868,"-",,"-",,"-",,"-",
"Alexander MACINNES (SNP)",608,+2.00000,610.00000,-610.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Derek MACLEOD (C)",1036,+19.00000,1055.00000,+6.00000,1061.00000,+3.22506,1064.22506,+141.33948,1205.56454,-80.56454,1125.00000,,1125.00000,,1125.00000,"Elected"
"Kate STEPHEN (LD)",752,+89.00000,841.00000,+23.00000,864.00000,+18.67140,882.67140,+110.67896,993.35036,+33.04432,1026.39468,+8.47584,1034.87052,+525.52956,1560.40008,"Elected"
"Non-transferable", ,+37.00000,37.00000,+20.00000,57.00000,+52.28222,109.28222,+112.60142,221.88364,+41.00466,262.88830,+8.73496,271.62326,+412.97666,684.59992,
"Totals",5620,,5620.00000,,5620.00000,,5620.00000,,5620.00000,,5620.00000,,5620.00000,,5620.00000
