"Election for","Ward 10 - Eilean a' Cheo"
"Date","10 Apr 2020"
"Number to be elected",4
"Valid votes",5001
"Invalid votes",0
"Quota",1001.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10,"Stage",11,"Stage",12
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","John FINLAYSON (Ind)",,"Peter O'DONNGHAILE (Lab)",,"KEN MACLEOD (LD)",,"Moira Elisobeth SCOBBIE (Ind)",,"Drew MILLAR (Ind)",,"Campbell DICKSON (Ind)",,"Ian RENWICK (SNP)",,"CALUM MACLEOD (SNP)",,"Ronald MACDONALD (Ind)",,"MALCOLM MACLEOD (C)",,"Hamish FRASER (Ind)",
"Campbell DICKSON (Ind)",216,+33.69953,249.69953,+1.92751,251.62704,+6.30917,257.93621,+19.32838,277.26459,+26.01921,303.28380,-303.28380,"-",,"-",,"-",,"-",,"-",,"-",
"John FINLAYSON (Ind)",1449,-448.00000,1001.00000,,1001.00000,,1001.00000,,1001.00000,,1001.00000,,1001.00000,,1001.00000,,1001.00000,,1001.00000,,1001.00000,,1001.00000,"Elected"
"Hamish FRASER (Ind)",339,+56.88728,395.88728,+12.61834,408.50562,+16.61834,425.12396,+17.71004,442.83400,+72.80174,515.63574,+29.94672,545.58246,+9.23668,554.81914,+4.33006,559.14920,+0.09625,559.24545,+72.78057,632.02602,-632.02602,"-",
"John GORDON (Ind)",453,+81.93005,534.93005,+4.92751,539.85756,+9.61834,549.47590,+33.18340,582.65930,+49.25589,631.91519,+105.34759,737.26278,+19.85502,757.11780,+8.19066,765.30846,+0.40663,765.71509,+68.92914,834.64423,+200.56290,1035.20713,"Elected"
"Ronald MACDONALD (Ind)",717,+112.53788,829.53788,+5.61834,835.15622,+12.30917,847.46539,+44.87423,892.33962,+33.63755,925.97717,+66.65676,992.63393,+6.61834,999.25227,+2.70880,1001.96107,-0.96107,1001.00000,,1001.00000,,1001.00000,"Elected"
"CALUM MACLEOD (SNP)",626,+30.60783,656.60783,+10.30917,666.91700,+9.61834,676.53534,+13.85502,690.39036,+19.92751,710.31787,+16.32838,726.64625,+302.11091,1028.75716,-27.75716,1001.00000,,1001.00000,,1001.00000,,1001.00000,"Elected"
"KEN MACLEOD (LD)",97,+9.58427,106.58427,+24.61834,131.20261,-131.20261,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"MALCOLM MACLEOD (C)",319,+12.36680,331.36680,+4.00000,335.36680,+23.85502,359.22182,+11.78253,371.00435,+12.92751,383.93186,+10.54585,394.47771,+1.30917,395.78688,+0.48368,396.27056,+0.08894,396.35950,-396.35950,"-",,"-",
"Drew MILLAR (Ind)",213,+28.13447,241.13447,+2.30917,243.44364,+7.00000,250.44364,+15.30917,265.75281,-265.75281,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Peter O'DONNGHAILE (Lab)",98,+6.49257,104.49257,-104.49257,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Ian RENWICK (SNP)",310,+7.42008,317.42008,+3.00000,320.42008,+3.00000,323.42008,+11.40087,334.82095,+16.92751,351.74846,+11.78253,363.53099,-363.53099,"-",,"-",,"-",,"-",,"-",
"Moira Elisobeth SCOBBIE (Ind)",164,+33.08119,197.08119,+10.92751,208.00870,+14.54585,222.55455,-222.55455,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+35.25805,35.25805,+24.23668,59.49473,+28.32838,87.82311,+55.11091,142.93402,+34.25589,177.18991,+62.67597,239.86588,+24.40087,264.26675,+12.04396,276.31071,+0.36925,276.67996,+254.64979,531.32975,+431.46312,962.79287,
"Totals",5001,,5001.00000,,5001.00000,,5001.00000,,5001.00000,,5001.00000,,5001.00000,,5001.00000,,5001.00000,,5001.00000,,5001.00000,,5001.00000
