"Election for","Ward 14 - Inverness Central"
"Date","10 Apr 2020"
"Number to be elected",3
"Valid votes",3419
"Invalid votes",0
"Quota",855.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Richard LAIRD (SNP)",,"Diane WILKINSON (Ind)",,"MARGOT KERR (LD)",,"Russell DEACON (Grn)",,"DONNIE KERR (Ind)",,"Bet MCALLISTER (Lab)",,"Donald MACKENZIE (C)",
"Janet CAMPBELL (Ind)",522,+24.03396,546.03396,+14.85552,560.88948,+16.95184,577.84132,+62.55804,640.39936,+188.36540,828.76476,+10.58917,839.35393,+224.04978,1063.40371,"Elected"
"Russell DEACON (Grn)",208,+97.08768,305.08768,+6.18980,311.27748,+34.75920,346.03668,-346.03668,"-",,"-",,"-",,"-",
"DONNIE KERR (Ind)",360,+32.83848,392.83848,+16.37960,409.21808,+11.42776,420.64584,+64.46172,485.10756,-485.10756,"-",,"-",,"-",
"MARGOT KERR (LD)",154,+16.65720,170.65720,+2.00000,172.65720,-172.65720,"-",,"-",,"-",,"-",,"-",
"Richard LAIRD (SNP)",1122,-267.00000,855.00000,,855.00000,,855.00000,,855.00000,,855.00000,,855.00000,,855.00000,"Elected"
"Donald MACKENZIE (C)",426,+4.28328,430.28328,+4.00000,434.28328,+40.42776,474.71104,+23.33144,498.04248,+35.61756,533.66004,+2.97169,536.63173,-536.63173,"-",
"Bet MCALLISTER (Lab)",577,+38.54952,615.54952,+7.95184,623.50136,+42.23512,665.73648,+103.03680,768.77328,+112.04248,880.81576,-25.81576,855.00000,,855.00000,"Elected"
"Diane WILKINSON (Ind)",50,+8.80452,58.80452,-58.80452,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+44.74536,44.74536,+7.42776,52.17312,+26.85552,79.02864,+92.64868,171.67732,+149.08212,320.75944,+12.25490,333.01434,+312.58195,645.59629,
"Totals",3419,,3419.00000,,3419.00000,,3419.00000,,3419.00000,,3419.00000,,3419.00000,,3419.00000
