"Election for","Ward 17 - Culloden and Ardersier"
"Date","10 Apr 2020"
"Number to be elected",3
"Valid votes",3782
"Invalid votes",0
"Quota",946.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Thomas LAMONT (Ind)",,"Donnie MACLEOD (Grn)",,"Matt WAKELING (Lab)",,"Pauline MUNRO (SNP)",,"Glynis CAMPBELL-SINCLAIR (SNP)",,"Roddy BALFOUR (Ind)",,"Raine CULLEN (C)",
"Roddy BALFOUR (Ind)",763,+27.00000,790.00000,+27.00000,817.00000,+47.00000,864.00000,+36.00000,900.00000,+72.53854,972.53854,-26.53854,946.00000,,946.00000,"Elected"
"Glynis CAMPBELL-SINCLAIR (SNP)",669,+8.00000,677.00000,+27.00000,704.00000,+20.00000,724.00000,+556.00000,1280.00000,-334.00000,946.00000,,946.00000,,946.00000,"Elected"
"Raine CULLEN (C)",685,+12.00000,697.00000,+8.00000,705.00000,+26.00000,731.00000,+5.00000,736.00000,+8.87162,744.87162,+6.22584,751.09746,-751.09746,"-",
"Thomas LAMONT (Ind)",86,-86.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Donnie MACLEOD (Grn)",149,+7.00000,156.00000,-156.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Pauline MUNRO (SNP)",623,+4.00000,627.00000,+28.00000,655.00000,+27.00000,682.00000,-682.00000,"-",,"-",,"-",,"-",
"Trish ROBERTSON (LD)",592,+9.00000,601.00000,+32.00000,633.00000,+74.00000,707.00000,+36.00000,743.00000,+57.40460,800.40460,+10.55184,810.95644,+377.75484,1188.71128,"Elected"
"Matt WAKELING (Lab)",215,+5.00000,220.00000,+21.00000,241.00000,-241.00000,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+14.00000,14.00000,+13.00000,27.00000,+47.00000,74.00000,+49.00000,123.00000,+195.18524,318.18524,+9.76086,327.94610,+373.34262,701.28872,
"Totals",3782,,3782.00000,,3782.00000,,3782.00000,,3782.00000,,3782.00000,,3782.00000,,3782.00000
