"Election for","Ward 18 - Nairn and Cawdor"
"Date","10 Apr 2020"
"Number to be elected",4
"Valid votes",5303
"Invalid votes",0
"Quota",1061.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Tom HEGGIE (Ind)",,"Louis MCINTOSH (SSP)",,"Andrew MACKINTOSH (Lab)",,"Paul MCIVOR (Ind)",,"Ritchie CUNNINGHAM (LD)",,"Stephen FULLER (SNP)",,"Liz MACDONALD (SNP)",,"Michael GREEN (Ind)",
"Ritchie CUNNINGHAM (LD)",369,+5.87655,374.87655,+3.07255,377.94910,+43.21765,421.16675,+37.16080,458.32755,-458.32755,"-",,"-",,"-",,"-",
"Laurie FRASER (Ind)",694,+22.49050,716.49050,,716.49050,+24.21765,740.70815,+100.33730,841.04545,+126.24905,967.29450,+41.79805,1009.09255,+46.79580,1055.88835,+435.37613,1491.26448,"Elected"
"Stephen FULLER (SNP)",586,+4.71575,590.71575,+8.00000,598.71575,+5.07255,603.78830,+31.08825,634.87655,+22.14510,657.02165,-657.02165,"-",,"-",,"-",
"Michael GREEN (Ind)",558,+13.05900,571.05900,+2.00000,573.05900,+11.14510,584.20410,+74.48240,658.68650,+100.08825,758.77475,+34.08825,792.86300,+31.65540,824.51840,-824.51840,"-",
"Tom HEGGIE (Ind)",1144,-83.00000,1061.00000,,1061.00000,,1061.00000,,1061.00000,,1061.00000,,1061.00000,,1061.00000,,1061.00000,"Elected"
"Liz MACDONALD (SNP)",647,+7.90795,654.90795,+7.07255,661.98050,+4.14510,666.12560,+20.79805,686.92365,+23.50785,710.43150,+518.24905,1228.68055,-167.68055,1061.00000,,1061.00000,"Elected"
"Andrew MACKINTOSH (Lab)",147,+1.88630,148.88630,+3.07255,151.95885,-151.95885,"-",,"-",,"-",,"-",,"-",,"-",
"Louis MCINTOSH (SSP)",32,+0.50785,32.50785,-32.50785,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Paul MCIVOR (Ind)",310,+12.84135,322.84135,+7.21765,330.05900,+17.58040,347.63940,-347.63940,"-",,"-",,"-",,"-",,"-",
"Peter SAGGERS (C)",816,+4.78830,820.78830,,820.78830,+13.00000,833.78830,+27.65295,861.44125,+79.65295,941.09420,+4.00000,945.09420,+2.89557,947.98977,+97.71658,1045.70635,"Elected"
"Non-transferable", ,+8.92645,8.92645,+2.07255,10.99900,+33.58040,44.57940,+56.11965,100.69905,+106.68435,207.38340,+58.88630,266.26970,+86.33378,352.60348,+291.42569,644.02917,
"Totals",5303,,5303.00000,,5303.00000,,5303.00000,,5303.00000,,5303.00000,,5303.00000,,5303.00000,,5303.00000
