"Election for","Midlothian West"
"Date","10 Jun 2020"
"Number to be elected",3
"Valid votes",5588
"Invalid votes",0
"Quota",1398.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Pauline WINCHESTER (C)",,"Ross LAIRD (LD)",,"Andrew COVENTRY (Ind)",,"David TEMPLE (SNP)",,"Kelly PARRY (SNP)",,"Stephen BLAIN (Lab)",
"Helen BLACKBURN (Grn)",468,+5.37922,473.37922,+78.93412,552.31334,+128.47104,680.78438,+35.06986,715.85424,+119.93804,835.79228,+53.62011,889.41239,
"Stephen BLAIN (Lab)",612,+8.10376,620.10376,+30.02594,650.12970,+50.09580,700.22550,+7.06986,707.29536,+16.84997,724.14533,-724.14533,"-",
"Andrew COVENTRY (Ind)",413,+22.84422,435.84422,+48.30936,484.15358,-484.15358,"-",,"-",,"-",,"-",
"Russell IMRIE (Lab)",684,+14.81032,698.81032,+38.70258,737.51290,+79.47104,816.98394,+20.34930,837.33324,+30.58802,867.92126,+575.57504,1443.49630,"Elected"
"Ross LAIRD (LD)",236,+20.60870,256.60870,-256.60870,"-",,"-",,"-",,"-",,"-",
"Kelly PARRY (SNP)",1091,+0.97804,1091.97804,+14.34930,1106.32734,+53.41916,1159.74650,+519.90818,1679.65468,-281.65468,1398.00000,,1398.00000,"Elected"
"David TEMPLE (SNP)",581,+1.67664,582.67664,+5.06986,587.74650,+29.13972,616.88622,-616.88622,"-",,"-",,"-",
"Pauline WINCHESTER (C)",1503,-105.00000,1398.00000,,1398.00000,,1398.00000,,1398.00000,,1398.00000,,1398.00000,"Elected"
"Non-transferable", ,+30.59910,30.59910,+41.21754,71.81664,+143.55682,215.37346,+34.48902,249.86248,+114.27865,364.14113,+94.95018,459.09131,
"Totals",5588,,5588.00000,,5588.00000,,5588.00000,,5588.00000,,5588.00000,,5588.00000
