"Election for","Fochabers Lhanbryde"
"Date","07 Jun 2020"
"Number to be elected",3
"Valid votes",4089
"Invalid votes",0
"Quota",1023.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Marc MACRAE (C)",,"Peter Jonathan HORTON (LD)",,"Sean Murray MORTON (Ind)",,"Kenneth John GILLESPIE (Ind)",,"Donald CAMERON (LD)",,"Ian TAYLOR (Ind)",
"David BREMNER (SNP)",711,+11.18934,722.18934,+6.41442,728.60376,+23.82884,752.43260,+7.82884,760.26144,+31.72978,791.99122,+70.26144,862.25266,"Elected"
"Donald CAMERON (LD)",211,+106.50594,317.50594,+76.05454,393.56048,+51.43260,444.99308,+66.45078,511.44386,-511.44386,"-",,"-",
"Kenneth John GILLESPIE (Ind)",166,+116.03760,282.03760,+12.21630,294.25390,+49.91912,344.17302,-344.17302,"-",,"-",,"-",
"Peter Jonathan HORTON (LD)",83,+58.84764,141.84764,-141.84764,"-",,"-",,"-",,"-",,"-",
"Marc MACRAE (C)",1747,-724.00000,1023.00000,,1023.00000,,1023.00000,,1023.00000,,1023.00000,,1023.00000,"Elected"
"Shona MORRISON (SNP)",682,+20.30658,702.30658,+6.00000,708.30658,+29.82884,738.13542,+21.07210,759.20752,+34.31536,793.52288,+78.74796,872.27084,"Elected"
"Sean Murray MORTON (Ind)",215,+68.79372,283.79372,+5.48652,289.28024,-289.28024,"-",,"-",,"-",,"-",
"Ian TAYLOR (Ind)",274,+87.44262,361.44262,+12.72978,374.17240,+66.40564,440.57804,+137.46018,578.03822,+123.36990,701.40812,-701.40812,"-",
"Non-transferable", ,+254.87656,254.87656,+22.94608,277.82264,+67.86520,345.68784,+111.36112,457.04896,+322.02882,779.07778,+552.39872,1331.47650,
"Totals",4089,,4089.00000,,4089.00000,,4089.00000,,4089.00000,,4089.00000,,4089.00000
