"Election for","Dalry and West Kilbride"
"Date","24 May 2020"
"Number to be elected",3
"Valid votes",5123
"Invalid votes",0
"Quota",1281.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","John WILLIS (Ind)",,"Sheena WOODSIDE (Ind)",,"Elizabeth MCLARDY (ind)",,"Joy BRAHIM (SNP)",,"Paul REID (Lab)",
"Robert BARR (Ind)",990,+5.00000,995.00000,+152.00000,1147.00000,+75.00000,1222.00000,+1.80420,1223.80420,+138.18600,1361.99020,"Elected"
"Joy BRAHIM (SNP)",1219,+4.00000,1223.00000,+24.00000,1247.00000,+42.00000,1289.00000,-8.00000,1281.00000,,1281.00000,"Elected"
"Todd FERGUSON (C)",1137,,1137.00000,+40.00000,1177.00000,+70.00000,1247.00000,+0.15500,1247.15500,+67.06200,1314.21700,"Elected"
"Kay HALL (Ind)",599,+1.00000,600.00000,+19.00000,619.00000,+161.00000,780.00000,+2.31260,782.31260,+85.23560,867.54820,
"Elizabeth MCLARDY (ind)",418,+5.00000,423.00000,+10.00000,433.00000,-433.00000,"-",,"-",,"-",
"Paul REID (Lab)",432,+5.00000,437.00000,+31.00000,468.00000,+30.00000,498.00000,+1.20280,499.20280,-499.20280,"-",
"John WILLIS (Ind)",27,-27.00000,"-",,"-",,"-",,"-",,"-",
"Sheena WOODSIDE (Ind)",301,+6.00000,307.00000,-307.00000,"-",,"-",,"-",,"-",
"Non-transferable", ,+1.00000,1.00000,+31.00000,32.00000,+55.00000,87.00000,+2.52540,89.52540,+208.71920,298.24460,
"Totals",5123,,5123.00000,,5123.00000,,5123.00000,,5123.00000,,5123.00000
