"Election for","Ward 2 - Cumbernauld North"
"Date","23 Mar 2020"
"Number to be elected",4
"Valid votes",7176
"Invalid votes",0
"Quota",1436.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Alan MASTERTON (SNP)",,"John MILLER (SSP)",,"Carl Dean PEARSON (UKIP)",,"Kevin HAMILTON (Grn)",,"Danish ASHRAF (SNP)",,"Fraser MORRISON (Ind)",,"Barry MCCULLOCH (Lab)",,"Tom FISHER (Lab)",,"Alan O'BRIEN (Ind)",
"Danish ASHRAF (SNP)",1007,+324.22026,1331.22026,+4.43316,1335.65342,+2.00000,1337.65342,+105.87978,1443.53320,-7.53320,1436.00000,,1436.00000,,1436.00000,,1436.00000,,1436.00000,"Elected"
"Calum CURRIE (C)",1186,+3.24870,1189.24870,+3.00000,1192.24870,+13.00000,1205.24870,+11.00000,1216.24870,+0.25542,1216.50412,+83.43542,1299.93954,+34.22518,1334.16472,+28.01122,1362.17594,+354.25092,1716.42686,"Elected"
"Tom FISHER (Lab)",856,+8.01346,864.01346,+1.21658,865.23004,+5.00000,870.23004,+28.73264,898.96268,+1.23824,900.20092,+67.73034,967.93126,+616.58190,1584.51316,-148.51316,1436.00000,,1436.00000,"Elected"
"Kevin HAMILTON (Grn)",281,+15.81034,296.81034,+6.21658,303.02692,+2.00000,305.02692,-305.02692,"-",,"-",,"-",,"-",,"-",,"-",
"Alan MASTERTON (SNP)",1833,-397.00000,1436.00000,,1436.00000,,1436.00000,,1436.00000,,1436.00000,,1436.00000,,1436.00000,,1436.00000,,1436.00000,"Elected"
"Barry MCCULLOCH (Lab)",721,+8.87978,729.87978,+5.00000,734.87978,+5.21658,740.09636,+18.64974,758.74610,+0.65139,759.39749,+48.89055,808.28804,-808.28804,"-",,"-",,"-",
"John MILLER (SSP)",27,+1.29948,28.29948,-28.29948,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Fraser MORRISON (Ind)",509,+8.44662,517.44662,+1.00000,518.44662,+2.21658,520.66320,+51.86632,572.52952,+1.22727,573.75679,-573.75679,"-",,"-",,"-",,"-",
"Alan O'BRIEN (Ind)",711,+10.61242,721.61242,+1.21658,722.82900,+10.00000,732.82900,+36.29948,769.12848,+0.77757,769.90605,+239.28193,1009.18798,+42.10531,1051.29329,+24.19977,1075.49306,-1075.49306,"-",
"Carl Dean PEARSON (UKIP)",45,+0.43316,45.43316,,45.43316,-45.43316,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+16.03578,16.03578,+6.21658,22.25236,+6.00000,28.25236,+52.59896,80.85132,+3.38331,84.23463,+134.41855,218.65318,+115.37565,334.02883,+96.30217,430.33100,+721.24214,1151.57314,
"Totals",7176,,7176.00000,,7176.00000,,7176.00000,,7176.00000,,7176.00000,,7176.00000,,7176.00000,,7176.00000,,7176.00000
