"Election for","Ward 4 - Cumbernauld East"
"Date","23 Mar 2020"
"Number to be elected",4
"Valid votes",5931
"Invalid votes",0
"Quota",1187.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Tom JOHNSTON (SNP)",,"Claire BARCLAY (SNP)",,"Andy LOCKE (SSP)",,"Anne MCCROSSAN (Grn)",,"Stevie GRANT (Lab)",,"Gillian FANNAN (Lab)",,"David STARK (C)",
"Claire BARCLAY (SNP)",1312,,1312.00000,-125.00000,1187.00000,,1187.00000,,1187.00000,,1187.00000,,1187.00000,,1187.00000,"Elected"
"Gillian FANNAN (Lab)",789,+3.75904,792.75904,+6.57363,799.33267,+8.11747,807.45014,+24.52075,831.97089,+477.69255,1309.66344,-122.66344,1187.00000,,1187.00000,"Elected"
"Stevie GRANT (Lab)",624,+7.28314,631.28314,+4.57296,635.85610,+8.11747,643.97357,+28.63822,672.61179,-672.61179,"-",,"-",,"-",
"Paddy HOGG (SNP)",824,+130.62664,954.62664,+103.74903,1058.37567,+16.56515,1074.94082,+71.57218,1146.51300,+18.34661,1164.85961,+16.91230,1181.77191,+74.91251,1256.68442,"Elected"
"Tom JOHNSTON (SNP)",1345,-158.00000,1187.00000,,1187.00000,,1187.00000,,1187.00000,,1187.00000,,1187.00000,,1187.00000,"Elected"
"Andy LOCKE (SSP)",73,+1.64458,74.64458,+0.66689,75.31147,-75.31147,"-",,"-",,"-",,"-",,"-",
"Anne MCCROSSAN (Grn)",178,+4.69880,182.69880,+3.23918,185.93798,+23.52075,209.45873,-209.45873,"-",,"-",,"-",,"-",
"David STARK (C)",786,+2.70181,788.70181,+0.38108,789.08289,+4.00000,793.08289,+32.30801,825.39090,+42.61602,868.00692,+27.99928,896.00620,-896.00620,"-",
"Non-transferable", ,+7.28599,7.28599,+5.81723,13.10322,+14.99063,28.09385,+52.41957,80.51342,+133.95661,214.47003,+77.75186,292.22189,+821.09369,1113.31558,
"Totals",5931,,5931.00000,,5931.00000,,5931.00000,,5931.00000,,5931.00000,,5931.00000,,5931.00000
