"Election for","Ward 8 - Airdrie North"
"Date","23 Mar 2020"
"Number to be elected",4
"Valid votes",5939
"Invalid votes",0
"Quota",1188.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Sophia COYLE (SNP)",,"Daryl GARDNER (UKIP)",,"Kyle DAVIDSON (Grn)",,"Andy PETTIGREW (SNP)",,"Alan BEVERIDGE (Ind)",,"Tommy MORGAN (Lab)",,"Andrew SPOWART (Lab)",
"Alan BEVERIDGE (Ind)",1084,+5.80000,1089.80000,+11.00000,1100.80000,+20.50000,1121.30000,+155.10000,1276.40000,-88.40000,1188.00000,,1188.00000,,1188.00000,"Elected"
"Sophia COYLE (SNP)",1320,-132.00000,1188.00000,,1188.00000,,1188.00000,,1188.00000,,1188.00000,,1188.00000,,1188.00000,"Elected"
"David CULLEN (C)",1084,+2.30000,1086.30000,+19.00000,1105.30000,+11.40000,1116.70000,+16.50000,1133.20000,+22.63768,1155.83768,+2.71396,1158.55164,+287.91017,1446.46181,"Elected"
"Kyle DAVIDSON (Grn)",90,+7.10000,97.10000,+3.30000,100.40000,-100.40000,"-",,"-",,"-",,"-",,"-",
"Daryl GARDNER (UKIP)",63,+0.50000,63.50000,-63.50000,"-",,"-",,"-",,"-",,"-",,"-",
"Tommy MORGAN (Lab)",1144,+7.40000,1151.40000,+4.00000,1155.40000,+14.20000,1169.60000,+68.80000,1238.40000,,1238.40000,-50.40000,1188.00000,,1188.00000,"Elected"
"Andy PETTIGREW (SNP)",356,+97.40000,453.40000,+10.10000,463.50000,+37.10000,500.60000,-500.60000,"-",,"-",,"-",,"-",
"Andrew SPOWART (Lab)",798,+3.70000,801.70000,+5.00000,806.70000,+8.20000,814.90000,+45.50000,860.40000,+25.38652,885.78652,+31.98108,917.76760,-917.76760,"-",
"Non-transferable", ,+7.80000,7.80000,+11.10000,18.90000,+9.00000,27.90000,+214.70000,242.60000,+40.37580,282.97580,+15.70496,298.68076,+629.85743,928.53819,
"Totals",5939,,5939.00000,,5939.00000,,5939.00000,,5939.00000,,5939.00000,,5939.00000,,5939.00000
