"Election for","Ward 9 - Airdrie Central"
"Date","23 Mar 2020"
"Number to be elected",4
"Valid votes",4887
"Invalid votes",0
"Quota",978.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Jim LOGUE (Lab)",,"Claire WILLIAMS (Grn)",,"George DEVINE (Ind)",,"Peter SULLIVAN (IANL)",,"Nancy PETTIGREW (SNP)",,"David STOCKS (SNP)",,"Michael MCBRIDE (Lab)",
"George DEVINE (Ind)",223,+9.91452,232.91452,+11.00000,243.91452,-243.91452,"-",,"-",,"-",,"-",,"-",
"Trevor DOUGLAS (C)",763,+18.48924,781.48924,+5.26796,786.75720,+31.80388,818.56108,+59.07184,877.63292,+0.27190,877.90482,+0.86441,878.76923,+163.00394,1041.77317,"Elected"
"Jim LOGUE (Lab)",1336,-358.00000,978.00000,,978.00000,,978.00000,,978.00000,,978.00000,,978.00000,,978.00000,"Elected"
"Michael MCBRIDE (Lab)",341,+228.83784,569.83784,+15.33980,585.17764,+27.21552,612.39316,+127.16308,739.55624,+0.50778,740.06402,+3.82848,743.89250,-743.89250,"-",
"Nancy PETTIGREW (SNP)",874,+16.34556,890.34556,+33.53592,923.88148,+34.26796,958.14944,+41.53592,999.68536,-21.68536,978.00000,,978.00000,,978.00000,"Elected"
"David STOCKS (SNP)",844,+17.41740,861.41740,+11.26796,872.68536,+22.53592,895.22128,+78.33980,973.56108,+18.85675,992.41783,-14.41783,978.00000,,978.00000,"Elected"
"Peter SULLIVAN (IANL)",385,+13.39800,398.39800,+24.26796,422.66596,+66.60776,489.27372,-489.27372,"-",,"-",,"-",,"-",
"Claire WILLIAMS (Grn)",121,+3.48348,124.48348,-124.48348,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+50.11396,50.11396,+23.80388,73.91784,+61.48348,135.40132,+183.16308,318.56440,+2.04893,320.61333,+9.72494,330.33827,+580.88856,911.22683,
"Totals",4887,,4887.00000,,4887.00000,,4887.00000,,4887.00000,,4887.00000,,4887.00000,,4887.00000
