"Election for","Ward 11 - Coatbridge South"
"Date","23 Mar 2020"
"Number to be elected",4
"Valid votes",4647
"Invalid votes",0
"Quota",930.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Tracy CARRAGHER (SNP)",,"Tom CASTLES (Lab)",,"Fergus MACGREGOR (SNP)",,"John HIGGINS (NLanarks)",,"Gerry SOMERS (Ind)",,"James BROOKS (NLanarks)",,"John CAMERON (C)",
"James BROOKS (NLanarks)",311,+10.62048,321.62048,+2.62482,324.24530,+2.85520,327.10050,+97.65621,424.75671,+92.37485,517.13156,-517.13156,"-",,"-",
"John CAMERON (C)",552,+4.64646,556.64646,+2.86344,559.50990,+0.62620,560.13610,+6.48884,566.62494,+21.57644,588.20138,+65.02323,653.22461,-653.22461,"-",
"Tracy CARRAGHER (SNP)",1392,-462.00000,930.00000,,930.00000,,930.00000,,930.00000,,930.00000,,930.00000,,930.00000,"Elected"
"Tom CASTLES (Lab)",1056,,1056.00000,-126.00000,930.00000,,930.00000,,930.00000,,930.00000,,930.00000,,930.00000,"Elected"
"Gordon ENCINIAS (Lab)",316,+21.90474,337.90474,+103.91901,441.82375,+5.34802,447.17177,+31.42676,478.59853,+38.65543,517.25396,+175.30354,692.55750,+239.00368,931.56118,"Elected"
"John HIGGINS (NLanarks)",211,+11.94804,222.94804,+3.34068,226.28872,+4.19656,230.48528,-230.48528,"-",,"-",,"-",,"-",
"Fergus MACGREGOR (SNP)",593,+373.37625,966.37625,,966.37625,-36.37625,930.00000,,930.00000,,930.00000,,930.00000,,930.00000,"Elected"
"Gerry SOMERS (Ind)",216,+8.96103,224.96103,+1.90896,226.86999,+5.92477,232.79476,+41.79377,274.58853,-274.58853,"-",,"-",,"-",
"Non-transferable", ,+30.54300,30.54300,+11.34309,41.88609,+17.42550,59.31159,+53.11970,112.43129,+121.98181,234.41310,+276.80479,511.21789,+414.22093,925.43882,
"Totals",4647,,4647.00000,,4647.00000,,4647.00000,,4647.00000,,4647.00000,,4647.00000,,4647.00000
