"Election for","Ward 12 - Airdrie South"
"Date","23 Mar 2020"
"Number to be elected",4
"Valid votes",6203
"Invalid votes",0
"Quota",1241.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","MICHAEL COYLE (SNP)",,"Sandy WATSON (C)",,"Rosemary MCGOWAN (Grn)",,"Peter OWENS (Ind)",,"AGNES COYLE (Ind)",,"Paul DI MASCIO (SNP)",,"Jed GRAHAM (Lab)",
"AGNES COYLE (Ind)",275,+41.44084,316.44084,+4.33017,320.77101,+15.30447,336.07548,+28.93038,365.00586,-365.00586,"-",,"-",,"-",
"MICHAEL COYLE (SNP)",1468,-227.00000,1241.00000,,1241.00000,,1241.00000,,1241.00000,,1241.00000,,1241.00000,,1241.00000,"Elected"
"Paul DI MASCIO (SNP)",907,+155.24852,1062.24852,+3.55296,1065.80148,+78.53193,1144.33341,+45.95088,1190.28429,+164.89949,1355.18378,-114.18378,1241.00000,,1241.00000,"Elected"
"Jed GRAHAM (Lab)",846,+4.63890,850.63890,+15.10008,865.73898,+29.66618,895.40516,+45.04141,940.44657,+27.71518,968.16175,+28.60788,996.76963,-996.76963,"-",
"Rosemary MCGOWAN (Grn)",236,+7.57687,243.57687,+8.88240,252.45927,-252.45927,"-",,"-",,"-",,"-",,"-",
"Ian MCNEIL (Lab)",838,+3.55649,841.55649,+38.74947,880.30596,+34.53059,914.83655,+84.54931,999.38586,+21.27512,1020.66098,+14.39479,1035.05577,+816.32630,1851.38207,"Elected"
"Peter OWENS (Ind)",237,+2.16482,239.16482,+29.53398,268.69880,+59.52913,328.22793,-328.22793,"-",,"-",,"-",,"-",
"Sandy WATSON (C)",1396,,1396.00000,-155.00000,1241.00000,,1241.00000,,1241.00000,,1241.00000,,1241.00000,,1241.00000,"Elected"
"Non-transferable", ,+12.37356,12.37356,+54.85094,67.22450,+34.89697,102.12147,+123.75595,225.87742,+151.11607,376.99349,+71.18111,448.17460,+180.44333,628.61793,
"Totals",6203,,6203.00000,,6203.00000,,6203.00000,,6203.00000,,6203.00000,,6203.00000,,6203.00000
