"Election for","Ward 20 - Murdostoun"
"Date","23 Mar 2020"
"Number to be elected",4
"Valid votes",6406
"Invalid votes",0
"Quota",1282.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Robert MCKENDRICK (Ind)",,"Yvonne MILLAR (UKIP)",,"Robert ARTHUR (Ind)",,"Cameron William MCMANUS (SNP)",,"John TAGGART (Ind)",,"Anum QAISAR (SNP)",,"Cindy MACKENZIE (C)",
"Robert ARTHUR (Ind)",154,+77.44295,231.44295,+9.46285,240.90580,-240.90580,"-",,"-",,"-",,"-",,"-",
"Cindy MACKENZIE (C)",825,+25.72310,850.72310,+29.36825,880.09135,+34.29395,914.38530,+0.16642,914.55172,+68.44270,982.99442,+22.97474,1005.96916,-1005.96916,"-",
"Robert MCKENDRICK (Ind)",1765,-483.00000,1282.00000,,1282.00000,,1282.00000,,1282.00000,,1282.00000,,1282.00000,,1282.00000,"Elected"
"Cameron William MCMANUS (SNP)",1210,+56.91920,1266.91920,+3.27365,1270.19285,+25.20950,1295.40235,-13.40235,1282.00000,,1282.00000,,1282.00000,,1282.00000,"Elected"
"Yvonne MILLAR (UKIP)",67,+10.39870,77.39870,-77.39870,"-",,"-",,"-",,"-",,"-",,"-",
"Anum QAISAR (SNP)",581,+21.34470,602.34470,+1.27365,603.61835,+10.01015,613.62850,+10.39672,624.02522,+59.65504,683.68026,-683.68026,"-",,"-",
"Louise ROARTY (Lab)",738,+65.67600,803.67600,+6.09460,809.77060,+17.38855,827.15915,+0.63945,827.79860,+31.40904,859.20764,+154.93504,1014.14268,+221.16227,1235.30495,"Elected"
"Nicky SHEVLIN (Lab)",782,+42.96305,824.96305,+3.82095,828.78400,+12.02030,840.80430,+0.56696,841.37126,+89.49100,930.86226,+77.17104,1008.03330,+137.08800,1145.12130,"Elected"
"John TAGGART (Ind)",284,+81.82135,365.82135,+4.09460,369.91595,+81.62850,451.54445,+0.45605,452.00050,-452.00050,"-",,"-",,"-",
"Non-transferable", ,+100.71095,100.71095,+20.01015,120.72110,+60.35485,181.07595,+1.17675,182.25270,+203.00272,385.25542,+428.59944,813.85486,+647.71889,1461.57375,
"Totals",6406,,6406.00000,,6406.00000,,6406.00000,,6406.00000,,6406.00000,,6406.00000,,6406.00000
