"Election for","Ward 6 - Strathearn"
"Date","08 Apr 2020"
"Number to be elected",3
"Valid votes",4536
"Invalid votes",0
"Quota",1135.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Roz MCCALL (C)",,"Tina NG-A-MANN (LD)",,"Rhona BROCK (Ind)",,"Lawrence Bernard BUCKLEY (Grn)",,"Craig FINLAY (Ind)",,"John FELLOWS (SNP)",
"Rhona BROCK (Ind)",1112,+3.72450,1115.72450,+29.05730,1144.78180,-9.78180,1135.00000,,1135.00000,,1135.00000,,1135.00000,"Elected"
"Lawrence Bernard BUCKLEY (Grn)",187,+0.28650,187.28650,+12.05730,199.34380,+1.03526,200.37906,-200.37906,"-",,"-",,"-",
"Stewart DONALDSON (SNP)",605,+0.11460,605.11460,+3.00000,608.11460,+0.96502,609.07962,+72.22204,681.30166,+34.37328,715.67494,+488.44456,1204.11950,"Elected"
"John FELLOWS (SNP)",481,,481.00000,+4.00000,485.00000,+0.54752,485.54752,+28.11102,513.65854,+24.16226,537.82080,-537.82080,"-",
"Craig FINLAY (Ind)",275,+0.85950,275.85950,+4.05730,279.91680,+3.34442,283.26122,+34.27376,317.53498,-317.53498,"-",,"-",
"Roz MCCALL (C)",1204,-69.00000,1135.00000,,1135.00000,,1135.00000,,1135.00000,,1135.00000,,1135.00000,"Elected"
"Alex MENZIES-RUNCIMAN (C)",590,+61.36830,651.36830,+19.05730,670.42560,+2.21868,672.64428,+14.27238,686.91666,+77.38918,764.30584,+5.01708,769.32292,
"Tina NG-A-MANN (LD)",82,+0.28650,82.28650,-82.28650,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+2.36010,2.36010,+11.05730,13.41740,+1.67090,15.08830,+51.49986,66.58816,+181.61026,248.19842,+44.35916,292.55758,
"Totals",4536,,4536.00000,,4536.00000,,4536.00000,,4536.00000,,4536.00000,,4536.00000
