"Election for","Ward 7 - Strathallan"
"Date","08 Apr 2020"
"Number to be elected",3
"Valid votes",4564
"Invalid votes",0
"Quota",1142.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Murray LYLE (C)",,"Crawford REID (C)",,"Ron ROSE (Ind)",,"Bruce FUMMEY (Grn)",,"Fhinan BEYTS (Lab)",,"Mairi MACDONALD (SNP)",
"Fhinan BEYTS (Lab)",235,+0.97029,235.97029,+3.97836,239.94865,+3.38096,243.32961,+23.37467,266.70428,-266.70428,"-",,"-",
"Bruce FUMMEY (Grn)",169,+0.75467,169.75467,+1.96117,171.71584,+4.20884,175.92468,-175.92468,"-",,"-",,"-",
"Ann Gourlay GAUNT (LD)",538,+8.51699,546.51699,+17.08837,563.60536,+2.15105,565.75641,+62.65550,628.41191,+123.71245,752.12436,+36.66083,788.78519,
"Tom GRAY (SNP)",667,+2.37182,669.37182,+0.76621,670.13803,+3.00484,673.14287,+32.04979,705.19266,+31.29245,736.48511,+543.51291,1279.99802,"Elected"
"Murray LYLE (C)",1280,-138.00000,1142.00000,,1142.00000,,1142.00000,,1142.00000,,1142.00000,,1142.00000,"Elected"
"Mairi MACDONALD (SNP)",578,+1.29372,579.29372,+0.70813,580.00185,+1.00000,581.00185,+35.26057,616.26242,+15.00000,631.26242,-631.26242,"-",
"Crawford REID (C)",1079,+116.75823,1195.75823,-53.75823,1142.00000,,1142.00000,,1142.00000,,1142.00000,,1142.00000,"Elected"
"Ron ROSE (Ind)",18,+0.86248,18.86248,+3.41198,22.27446,-22.27446,"-",,"-",,"-",,"-",
"Non-transferable", ,+6.47180,6.47180,+25.84401,32.31581,+8.52877,40.84458,+22.58415,63.42873,+96.69938,160.12811,+51.08868,211.21679,
"Totals",4564,,4564.00000,,4564.00000,,4564.00000,,4564.00000,,4564.00000,,4564.00000
