"Election for","Ward 8 - Kinross-shire"
"Date","08 Apr 2020"
"Number to be elected",4
"Valid votes",6144
"Invalid votes",0
"Quota",1229.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Callum PURVES (C)",,"Karen Jane GRUNWELL (Grn)",,"David MACKENZIE (Lab)",,"Richard WATTERS (SNP)",,"Willie ROBERTSON (LD)",,"Dave CUTHBERT (Ind)",
"Mike BARNACLE (Ind)",747,+12.07296,759.07296,+18.00000,777.07296,+30.00000,807.07296,+5.99708,813.07004,+1.63285,814.70289,+458.21610,1272.91899,"Elected"
"Dave CUTHBERT (Ind)",600,+18.86400,618.86400,+18.25152,637.11552,+52.25152,689.36704,+6.42342,695.79046,+2.23869,698.02915,-698.02915,"-",
"Karen Jane GRUNWELL (Grn)",142,+1.00608,143.00608,-143.00608,"-",,"-",,"-",,"-",,"-",
"David MACKENZIE (Lab)",293,+6.03648,299.03648,+12.00000,311.03648,-311.03648,"-",,"-",,"-",,"-",
"Callum PURVES (C)",1642,-413.00000,1229.00000,,1229.00000,,1229.00000,,1229.00000,,1229.00000,,1229.00000,"Elected"
"Willie ROBERTSON (LD)",1062,+42.50688,1104.50688,+24.25152,1128.75840,+107.00608,1235.76448,,1235.76448,-6.76448,1229.00000,,1229.00000,"Elected"
"John ROSS (C)",489,+314.90304,803.90304,+3.25152,807.15456,+24.02432,831.17888,+0.90064,832.07952,+1.22822,833.30774,+74.12132,907.42906,
"Richard WATTERS (SNP)",1169,+2.76672,1171.76672,+53.00000,1224.76672,+28.25152,1253.01824,-24.01824,1229.00000,,1229.00000,,1229.00000,"Elected"
"Non-transferable", ,+14.84384,14.84384,+14.25152,29.09536,+69.50304,98.59840,+10.69710,109.29550,+1.66472,110.96022,+165.69173,276.65195,
"Totals",6144,,6144.00000,,6144.00000,,6144.00000,,6144.00000,,6144.00000,,6144.00000
