"Election for","Ward 11 - Perth City North"
"Date","08 Apr 2020"
"Number to be elected",3
"Valid votes",3647
"Invalid votes",0
"Quota",912.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Dave DOOGAN (SNP)",,"Harry COATES (C)",,"Arthur Alexander FRATER (Ind)",,"Sam FINLAYSON (Ind)",,"Philip James BROWN (LD)",,"Elspeth MACLACHLAN (Ind)",,"Callum GILLIES (Lab)",
"Philip James BROWN (LD)",126,+5.86040,131.86040,+3.84750,135.70790,+2.02250,137.73040,+4.18000,141.91040,-141.91040,"-",,"-",,"-",
"Harry COATES (C)",933,,933.00000,-21.00000,912.00000,,912.00000,,912.00000,,912.00000,,912.00000,,912.00000,"Elected"
"Dave DOOGAN (SNP)",1290,-378.00000,912.00000,,912.00000,,912.00000,,912.00000,,912.00000,,912.00000,,912.00000,"Elected"
"Sam FINLAYSON (Ind)",91,+6.44644,97.44644,+2.00250,99.44894,+20.42802,119.87696,-119.87696,"-",,"-",,"-",,"-",
"Arthur Alexander FRATER (Ind)",37,+1.17208,38.17208,+0.36000,38.53208,-38.53208,"-",,"-",,"-",,"-",,"-",
"Callum GILLIES (Lab)",577,+19.33932,596.33932,+4.81500,601.15432,+5.31552,606.46984,+13.45052,619.92036,+54.58062,674.50098,+47.99052,722.49150,-722.49150,"-",
"Elspeth MACLACHLAN (Ind)",113,+5.56738,118.56738,+1.44000,120.00738,+4.04500,124.05238,+64.82406,188.87644,+24.76500,213.64144,-213.64144,"-",,"-",
"John REBBECK (SNP)",480,+317.63368,797.63368,+0.51750,798.15118,+1.29302,799.44420,+18.53874,817.98294,+18.78062,836.76356,+33.72718,870.49074,+176.91100,1047.40174,"Elected"
"Non-transferable", ,+21.98070,21.98070,+8.01750,29.99820,+5.42802,35.42622,+18.88364,54.30986,+43.78416,98.09402,+131.92374,230.01776,+545.58050,775.59826,
"Totals",3647,,3647.00000,,3647.00000,,3647.00000,,3647.00000,,3647.00000,,3647.00000,,3647.00000
