"Election for","Ward 3 - Paisley Northeast and Ralston"
"Date","09 May 2020"
"Number to be elected",3
"Valid votes",4804
"Invalid votes",0
"Quota",1202.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Lindsay BROWN (SSP)",,"Billy CARLIN (Ind)",,"Duncan MACINTOSH (Grn)",,"MAUREEN SHARKEY (Lab)",,"Catriona CAMPBELL (LD)",,"JIM SHARKEY (Lab)",,"Neill GRAHAM (C)",,"John CLARK (SNP)",
"Jennifer Marion ADAM-MCGREGOR (SNP)",874,+7.00000,881.00000,+7.00000,888.00000,+44.00000,932.00000,+9.00000,941.00000,+68.00000,1009.00000,+11.72274,1020.72274,+3.40874,1024.13148,+858.21926,1882.35074,"Elected"
"Lindsay BROWN (SSP)",44,-44.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Catriona CAMPBELL (LD)",562,+4.00000,566.00000,+11.00000,577.00000,+29.00000,606.00000,+12.00000,618.00000,-618.00000,"-",,"-",,"-",,"-",
"Billy CARLIN (Ind)",50,+8.00000,58.00000,-58.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"John CLARK (SNP)",862,+1.00000,863.00000,+2.00000,865.00000,+34.00000,899.00000,+6.00000,905.00000,+41.00000,946.00000,+12.88670,958.88670,+5.23782,964.12452,-964.12452,"-",
"Neill GRAHAM (C)",1091,,1091.00000,+4.00000,1095.00000,+4.00000,1099.00000,+4.00000,1103.00000,+208.00000,1311.00000,,1311.00000,-109.00000,1202.00000,,1202.00000,"Elected"
"Duncan MACINTOSH (Grn)",170,+15.00000,185.00000,+16.00000,201.00000,-201.00000,"-",,"-",,"-",,"-",,"-",,"-",
"JIM SHARKEY (Lab)",835,+4.00000,839.00000,+6.00000,845.00000,+26.00000,871.00000,+296.00000,1167.00000,+144.00000,1311.00000,-109.00000,1202.00000,,1202.00000,,1202.00000,"Elected"
"MAUREEN SHARKEY (Lab)",316,,316.00000,+2.00000,318.00000,+21.00000,339.00000,-339.00000,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+5.00000,5.00000,+10.00000,15.00000,+43.00000,58.00000,+12.00000,70.00000,+157.00000,227.00000,+84.39056,311.39056,+100.35344,411.74400,+105.90526,517.64926,
"Totals",4804,,4804.00000,,4804.00000,,4804.00000,,4804.00000,,4804.00000,,4804.00000,,4804.00000,,4804.00000
