"Election for","Ward 6 - Paisley Southeast"
"Date","09 May 2020"
"Number to be elected",3
"Valid votes",4597
"Invalid votes",0
"Quota",1150.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","John MILLER (SSP)",,"Michael Thomas WILSON (LD)",,"Emma Louise MCSHANE (Grn)",,"Ben SMITH (Lab)",,"Eddie DEVINE (Lab)",,"Janette SWANSON (SNP)",,"Marie MCGURK (SNP)",,"Sheila FULTON (C)",
"Eddie DEVINE (Lab)",1009,,1009.00000,+13.00000,1022.00000,+17.00000,1039.00000,+159.00000,1198.00000,-48.00000,1150.00000,,1150.00000,,1150.00000,,1150.00000,"Elected"
"Sheila FULTON (C)",695,,695.00000,+22.00000,717.00000,+11.00000,728.00000,+23.00000,751.00000,+7.69152,758.69152,+7.00000,765.69152,+26.45769,792.14921,-792.14921,"-",
"Paul MACK (Ind)",648,+1.00000,649.00000,+17.00000,666.00000,+21.00000,687.00000,+43.00000,730.00000,+8.53278,738.53278,+27.16024,765.69302,+184.90221,950.59523,+298.20107,1248.79630,"Elected"
"Marie MCGURK (SNP)",1047,+6.00000,1053.00000,+6.00000,1059.00000,+42.00000,1101.00000,+11.00000,1112.00000,+5.76864,1117.76864,+630.92138,1748.69002,-598.69002,1150.00000,,1150.00000,"Elected"
"Emma Louise MCSHANE (Grn)",156,+1.00000,157.00000,+14.00000,171.00000,-171.00000,"-",,"-",,"-",,"-",,"-",,"-",
"John MILLER (SSP)",14,-14.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Ben SMITH (Lab)",250,,250.00000,+23.00000,273.00000,+23.00000,296.00000,-296.00000,"-",,"-",,"-",,"-",,"-",
"Janette SWANSON (SNP)",664,+3.00000,667.00000,+4.00000,671.00000,+37.00000,708.00000,+12.00000,720.00000,+1.96294,721.96294,-721.96294,"-",,"-",,"-",
"Michael Thomas WILSON (LD)",114,+1.00000,115.00000,-115.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+2.00000,2.00000,+16.00000,18.00000,+20.00000,38.00000,+48.00000,86.00000,+24.04412,110.04412,+56.88132,166.92544,+387.33012,554.25556,+493.94814,1048.20370,
"Totals",4597,,4597.00000,,4597.00000,,4597.00000,,4597.00000,,4597.00000,,4597.00000,,4597.00000,,4597.00000
