"Election for","Ward 12 - Erskine and Inchinnan"
"Date","09 May 2020"
"Number to be elected",4
"Valid votes",6393
"Invalid votes",0
"Quota",1279.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Iain NICOLSON (SNP)",,"Tom BEGG (C)",,"Jim HALFPENNY (TUSC)",,"John BOYD (LD)",,"Mairi CRANIE (Grn)",,"Andy CAMERON (Ind)",,"Sam MULLIN (Lab)",
"Tom BEGG (C)",1333,,1333.00000,-54.00000,1279.00000,,1279.00000,,1279.00000,,1279.00000,,1279.00000,,1279.00000,"Elected"
"John BOYD (LD)",104,+1.34904,105.34904,+8.99322,114.34226,+1.00000,115.34226,-115.34226,"-",,"-",,"-",,"-",
"Andy CAMERON (Ind)",687,+6.85762,693.85762,+12.47708,706.33470,+5.30586,711.64056,+31.43424,743.07480,+28.86389,771.93869,-771.93869,"-",,"-",
"Michelle CAMPBELL (SNP)",914,+129.39542,1043.39542,+1.41785,1044.81327,+5.11242,1049.92569,+9.53070,1059.45639,+65.77910,1125.23549,+152.36853,1277.60402,+45.89152,1323.49554,"Elected"
"Mairi CRANIE (Grn)",115,+4.27196,119.27196,+0.93173,120.20369,+11.26535,131.46904,+13.75147,145.22051,-145.22051,"-",,"-",,"-",
"Jim HALFPENNY (TUSC)",41,+0.56210,41.56210,+0.36459,41.92669,-41.92669,"-",,"-",,"-",,"-",,"-",
"Jim HARTE (Lab)",924,+4.04712,928.04712,+8.06149,936.10861,+11.08102,947.18963,+25.89486,973.08449,+21.65223,994.73672,+178.36500,1173.10172,+737.06405,1910.16577,"Elected"
"Sam MULLIN (Lab)",834,+7.53214,841.53214,+5.30681,846.83895,+6.08102,852.91997,+9.99453,862.91450,+5.19344,868.10794,+130.32632,998.43426,-998.43426,"-",
"Iain NICOLSON (SNP)",1441,-162.00000,1279.00000,,1279.00000,,1279.00000,,1279.00000,,1279.00000,,1279.00000,,1279.00000,"Elected"
"Non-transferable", ,+7.98460,7.98460,+16.44723,24.43183,+2.08102,26.51285,+24.73646,51.24931,+23.73185,74.98116,+310.87884,385.86000,+215.47869,601.33869,
"Totals",6393,,6393.00000,,6393.00000,,6393.00000,,6393.00000,,6393.00000,,6393.00000,,6393.00000
