"Election for","Ward 3 - Clydesdale East"
"Date","02 May 2020"
"Number to be elected",3
"Valid votes",5431
"Invalid votes",0
"Quota",1358.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Alex ALLISON (C)",,"Ian MCALLAN (SNP)",,"Andrew Jackson MCCALLUM (Ind)",,"Mark GORDON (LD)",,"Janet MOXLEY (Grn)",,"Bev GAULD (Ind)",,"George HANNAH (Lab)",
"Alex ALLISON (C)",1927,-569.00000,1358.00000,,1358.00000,,1358.00000,,1358.00000,,1358.00000,,1358.00000,,1358.00000,"Elected"
"Bev GAULD (Ind)",469,+38.97564,507.97564,+3.71776,511.69340,+27.76408,539.45748,+21.38204,560.83952,+56.28705,617.12657,-617.12657,"-",,"-",
"Mark GORDON (LD)",144,+16.53512,160.53512,+1.53232,162.06744,+8.15072,170.21816,-170.21816,"-",,"-",,"-",,"-",
"George HANNAH (Lab)",592,+16.83039,608.83039,+4.09456,612.92495,+21.03653,633.96148,+43.58594,677.54742,+124.13726,801.68468,+182.26394,983.94862,-983.94862,"-",
"Eric HOLFORD (C)",526,+432.86582,958.86582,+0.67824,959.54406,+7.70767,967.25173,+25.06983,992.32156,+28.74420,1021.06576,+115.14848,1136.21424,+250.33784,1386.55208,"Elected"
"Ian MCALLAN (SNP)",1393,,1393.00000,-35.00000,1358.00000,,1358.00000,,1358.00000,,1358.00000,,1358.00000,,1358.00000,"Elected"
"Andrew Jackson MCCALLUM (Ind)",112,+9.15337,121.15337,+2.23568,123.38905,-123.38905,"-",,"-",,"-",,"-",,"-",
"Janet MOXLEY (Grn)",268,+9.15337,277.15337,+15.64976,292.80313,+31.36926,324.17239,+51.61953,375.79192,-375.79192,"-",,"-",,"-",
"Non-transferable", ,+45.48629,45.48629,+7.09168,52.57797,+27.36079,79.93876,+28.56082,108.49958,+166.62341,275.12299,+319.71415,594.83714,+733.61078,1328.44792,
"Totals",5431,,5431.00000,,5431.00000,,5431.00000,,5431.00000,,5431.00000,,5431.00000,,5431.00000
