"Election for","Ward 4 - Clydesdale South"
"Date","02 May 2020"
"Number to be elected",3
"Valid votes",5452
"Invalid votes",0
"Quota",1364.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Janice MACKAY (UKIP)",,"Kaitey BLAIR (LD)",,"Craig DALZELL (Grn)",,"Danny MEIKLE (Ind)",,"Sandra MILLS (SNP)",,"Mark HORSHAM (SNP)",,"Gordon MUIR (Lab)",
"Kaitey BLAIR (LD)",97,+4.00000,101.00000,-101.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Craig DALZELL (Grn)",139,+9.00000,148.00000,+26.00000,174.00000,-174.00000,"-",,"-",,"-",,"-",,"-",
"George GREENSHIELDS (Lab)",1031,+7.00000,1038.00000,+12.00000,1050.00000,+26.00000,1076.00000,+130.00000,1206.00000,+23.00000,1229.00000,+51.25302,1280.25302,+711.91001,1992.16303,"Elected"
"Mark HORSHAM (SNP)",874,+1.00000,875.00000,+9.00000,884.00000,+31.00000,915.00000,+33.00000,948.00000,+704.00000,1652.00000,-288.00000,1364.00000,,1364.00000,"Elected"
"Janice MACKAY (UKIP)",65,-65.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Colin MCGAVIGAN (C)",1198,+23.00000,1221.00000,+22.00000,1243.00000,+17.00000,1260.00000,+54.00000,1314.00000,+10.00000,1324.00000,+8.89083,1332.89083,+78.09196,1410.98279,"Elected"
"Danny MEIKLE (Ind)",425,+3.00000,428.00000,+6.00000,434.00000,+9.00000,443.00000,-443.00000,"-",,"-",,"-",,"-",
"Sandra MILLS (SNP)",757,+2.00000,759.00000,+2.00000,761.00000,+40.00000,801.00000,+34.00000,835.00000,-835.00000,"-",,"-",,"-",
"Gordon MUIR (Lab)",866,+2.00000,868.00000,+12.00000,880.00000,+18.00000,898.00000,+85.00000,983.00000,+39.00000,1022.00000,+31.37940,1053.37940,-1053.37940,"-",
"Non-transferable", ,+14.00000,14.00000,+12.00000,26.00000,+33.00000,59.00000,+107.00000,166.00000,+59.00000,225.00000,+196.47675,421.47675,+263.37743,684.85418,
"Totals",5452,,5452.00000,,5452.00000,,5452.00000,,5452.00000,,5452.00000,,5452.00000,,5452.00000
