"Election for","Ward 5 - Avondale and Stonehouse"
"Date","02 May 2020"
"Number to be elected",3
"Valid votes",6546
"Invalid votes",0
"Quota",1637.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Graeme CAMPBELL (C)",,"Margaret COOPER (Lab)",,"Laura MURRAY (UKIP)",,"Daniel John O'MALLEY (LD)",,"Erica YOUNG (Grn)",,"Alister HENDRY (Ind)",,"Mairi TULBURE (SNP)",
"Graeme CAMPBELL (C)",2062,-425.00000,1637.00000,,1637.00000,,1637.00000,,1637.00000,,1637.00000,,1637.00000,,1637.00000,"Elected"
"Margaret COOPER (Lab)",1540,+116.45215,1656.45215,-19.45215,1637.00000,,1637.00000,,1637.00000,,1637.00000,,1637.00000,,1637.00000,"Elected"
"Isobel DORMAN (SNP)",1121,+10.30550,1131.30550,+3.07392,1134.37942,+3.24617,1137.62559,+9.55085,1147.17644,+39.45282,1186.62926,+122.61310,1309.24236,+970.05661,2279.29897,"Elected"
"Alister HENDRY (Ind)",580,+85.32954,665.32954,+3.83912,669.16866,+25.46555,694.63421,+44.43483,739.06904,+61.78222,800.85126,-800.85126,"-",,"-",
"Laura MURRAY (UKIP)",51,+31.32872,82.32872,+0.81778,83.14650,-83.14650,"-",,"-",,"-",,"-",,"-",
"Daniel John O'MALLEY (LD)",122,+48.22974,170.22974,+2.96372,173.19346,+8.36185,181.55531,-181.55531,"-",,"-",,"-",,"-",
"Mairi TULBURE (SNP)",877,+5.35886,882.35886,+0.88364,883.24250,+0.43812,883.68062,+9.12931,892.80993,+74.64012,967.45005,+143.86026,1111.31031,-1111.31031,"-",
"Erica YOUNG (Grn)",193,+9.68717,202.68717,+1.13538,203.82255,+7.73348,211.55603,+61.52834,273.08437,-273.08437,"-",,"-",,"-",
"Non-transferable", ,+118.30832,118.30832,+6.73859,125.04691,+37.90133,162.94824,+56.91198,219.86022,+97.20921,317.06943,+534.37790,851.44733,+141.25370,992.70103,
"Totals",6546,,6546.00000,,6546.00000,,6546.00000,,6546.00000,,6546.00000,,6546.00000,,6546.00000
