"Election for","Ward 10 - East Kilbride East"
"Date","02 May 2020"
"Number to be elected",3
"Valid votes",5068
"Invalid votes",0
"Quota",1268.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Gladys MILLER (SNP)",,"Graham SCOTT (Lab)",,"Brian DOOLAN (UKIP)",,"Lorna Menzies Paterson GALL (LD)",,"John CAIRNEY (Ind)",,"Kirsten ROBB (Grn)",,"Isabel PERRATT (C)",
"John CAIRNEY (Ind)",166,+0.92568,166.92568,+4.76000,171.68568,+7.32214,179.00782,+14.19714,193.20496,-193.20496,"-",,"-",,"-",
"Brian DOOLAN (UKIP)",55,+0.38570,55.38570,+1.01500,56.40070,-56.40070,"-",,"-",,"-",,"-",,"-",
"Lorna Menzies Paterson GALL (LD)",109,+1.54280,110.54280,+6.37000,116.91280,+5.10500,122.01780,-122.01780,"-",,"-",,"-",,"-",
"Gladys MILLER (SNP)",1374,-106.00000,1268.00000,,1268.00000,,1268.00000,,1268.00000,,1268.00000,,1268.00000,,1268.00000,"Elected"
"Isabel PERRATT (C)",911,+1.23424,912.23424,+8.05000,920.28424,+19.14000,939.42424,+41.86928,981.29352,+49.16214,1030.45566,+47.70856,1078.16422,-1078.16422,"-",
"Kirsten ROBB (Grn)",366,+11.64814,377.64814,+6.51000,384.15814,+8.21000,392.36814,+25.82070,418.18884,+45.35856,463.54740,-463.54740,"-",,"-",
"Graham SCOTT (Lab)",1314,,1314.00000,-46.00000,1268.00000,,1268.00000,,1268.00000,,1268.00000,,1268.00000,,1268.00000,"Elected"
"Jim WARDHAUGH (SNP)",773,+83.61976,856.61976,+5.39000,862.00976,+5.25928,867.26904,+5.78498,873.05402,+28.80570,901.85972,+199.37328,1101.23300,+124.61424,1225.84724,"Elected"
"Non-transferable", ,+6.64368,6.64368,+13.90500,20.54868,+11.36428,31.91296,+34.34570,66.25866,+69.87856,136.13722,+216.46556,352.60278,+953.54998,1306.15276,
"Totals",5068,,5068.00000,,5068.00000,,5068.00000,,5068.00000,,5068.00000,,5068.00000,,5068.00000
