"Election for","Ward 13 - Cambuslang West"
"Date","02 May 2020"
"Number to be elected",3
"Valid votes",5529
"Invalid votes",0
"Quota",1383.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Kieran James KIELY (UKIP)",,"Don FERGUSON (Ind)",,"David MCCLEMONT (Grn)",,"Margaret WALKER (Lab)",,"Norman RAE (LD)",,"Ann LE BLOND (C)",,"Clare MCCOLL (SNP)",
"John BRADLEY (SNP)",1099,+5.00000,1104.00000,+6.00000,1110.00000,+39.00000,1149.00000,+1.06212,1150.06212,+64.14028,1214.20240,+5.61082,1219.81322,+950.42303,2170.23625,"Elected"
"Don FERGUSON (Ind)",106,+6.00000,112.00000,-112.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Kieran James KIELY (UKIP)",50,-50.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Ann LE BLOND (C)",1167,+11.00000,1178.00000,+23.00000,1201.00000,+9.00000,1210.00000,+2.37474,1212.37474,+287.07214,1499.44688,-116.44688,1383.00000,,1383.00000,"Elected"
"David MCCLEMONT (Grn)",161,+4.00000,165.00000,+11.00000,176.00000,-176.00000,"-",,"-",,"-",,"-",,"-",
"Clare MCCOLL (SNP)",962,+3.00000,965.00000,+11.00000,976.00000,+57.00000,1033.00000,+1.65330,1034.65330,+85.35070,1120.00400,+7.79580,1127.79980,-1127.79980,"-",
"Norman RAE (LD)",648,+3.00000,651.00000,+21.00000,672.00000,+24.00000,696.00000,+3.78756,699.78756,-699.78756,"-",,"-",,"-",
"Margaret WALKER (Lab)",1336,+10.00000,1346.00000,+23.00000,1369.00000,+28.00000,1397.00000,-14.00000,1383.00000,,1383.00000,,1383.00000,,1383.00000,"Elected"
"Non-transferable", ,+8.00000,8.00000,+17.00000,25.00000,+19.00000,44.00000,+5.12228,49.12228,+263.22444,312.34672,+103.04026,415.38698,+177.37677,592.76375,
"Totals",5529,,5529.00000,,5529.00000,,5529.00000,,5529.00000,,5529.00000,,5529.00000,,5529.00000
