"Election for","Ward 14 - Cambuslang East"
"Date","02 May 2020"
"Number to be elected",3
"Valid votes",4736
"Invalid votes",0
"Quota",1185.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Walter BROGAN (Lab)",,"James MOORE (SUP)",,"Ellen BRYSON (LD)",,"Laura MARTIN (Grn)",,"Katy LOUDON (SNP)",,"Stuart GALLACHER (Lab)",,"Gavin DOUGLAS (C)",
"Walter BROGAN (Lab)",1553,-368.00000,1185.00000,,1185.00000,,1185.00000,,1185.00000,,1185.00000,,1185.00000,,1185.00000,"Elected"
"Ellen BRYSON (LD)",125,+16.35024,141.35024,+8.71088,150.06112,-150.06112,"-",,"-",,"-",,"-",,"-",
"Gavin DOUGLAS (C)",668,+21.80032,689.80032,+72.13264,761.93296,+30.08048,792.01344,+18.47392,810.48736,+0.40266,810.89002,+90.77796,901.66798,-901.66798,"-",
"Alistair FULTON (SNP)",857,+18.71984,875.71984,+3.00000,878.71984,+17.13264,895.85248,+27.18480,923.03728,+35.06895,958.10623,+60.40895,1018.51518,+121.02153,1139.53671,"Elected"
"Stuart GALLACHER (Lab)",134,+244.30576,378.30576,+15.60656,393.91232,+33.39792,427.31024,+24.31744,451.62768,+0.99228,452.61996,-452.61996,"-",,"-",
"Katy LOUDON (SNP)",1123,+16.35024,1139.35024,+6.00000,1145.35024,+8.47392,1153.82416,+70.71088,1224.53504,-39.53504,1185.00000,,1185.00000,,1185.00000,"Elected"
"Laura MARTIN (Grn)",147,+7.81968,154.81968,+7.47392,162.29360,+37.13264,199.42624,-199.42624,"-",,"-",,"-",,"-",
"James MOORE (SUP)",129,+7.58272,136.58272,-136.58272,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+35.07120,35.07120,+23.65872,58.72992,+23.84352,82.57344,+58.73920,141.31264,+3.07115,144.38379,+301.43305,445.81684,+780.64645,1226.46329,
"Totals",4736,,4736.00000,,4736.00000,,4736.00000,,4736.00000,,4736.00000,,4736.00000,,4736.00000
