"Election for","Ward 15 - Blantyre"
"Date","02 May 2020"
"Number to be elected",3
"Valid votes",5362
"Invalid votes",0
"Quota",1341.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Mo RAZZAQ (Lab)",,"Maureen CHALMERS (SNP)",,"Gerry MCMAHON (SSP)",,"Ashley HUBBARD (Sol)",,"Stephen REID (LD)",,"Alan Henderson FRASER (C)",,"Michael MCGLYNN (SNP)",
"Maureen CHALMERS (SNP)",1354,,1354.00000,-13.00000,1341.00000,,1341.00000,,1341.00000,,1341.00000,,1341.00000,,1341.00000,"Elected"
"Alan Henderson FRASER (C)",593,+7.93842,600.93842,+0.17280,601.11122,+2.19362,603.30484,+4.17132,607.47616,+27.38724,634.86340,-634.86340,"-",,"-",
"Ashley HUBBARD (Sol)",76,+4.25964,80.25964,+0.37440,80.63404,+19.99690,100.63094,-100.63094,"-",,"-",,"-",,"-",
"Michael MCGLYNN (SNP)",797,+18.58752,815.58752,+11.09760,826.68512,+10.99690,837.68202,+22.20160,859.88362,+19.25772,879.14134,+22.85128,901.99262,-901.99262,"-",
"Gerry MCMAHON (SSP)",48,+3.48516,51.48516,+0.15360,51.63876,-51.63876,"-",,"-",,"-",,"-",,"-",
"Mo RAZZAQ (Lab)",1663,-322.00000,1341.00000,,1341.00000,,1341.00000,,1341.00000,,1341.00000,,1341.00000,,1341.00000,"Elected"
"Stephen REID (LD)",100,+8.71290,108.71290,+0.12480,108.83770,+3.60006,112.43776,+12.24162,124.67938,-124.67938,"-",,"-",,"-",
"Bert THOMSON (Lab)",731,+248.99532,979.99532,+0.31680,980.31212,+7.20322,987.51534,+25.75218,1013.26752,+38.21504,1051.48256,+226.90120,1278.38376,+274.92270,1553.30646,"Elected"
"Non-transferable", ,+30.02104,30.02104,+0.76000,30.78104,+7.64806,38.42910,+36.26422,74.69332,+39.81938,114.51270,+385.11092,499.62362,+627.06992,1126.69354,
"Totals",5362,,5362.00000,,5362.00000,,5362.00000,,5362.00000,,5362.00000,,5362.00000,,5362.00000
