"Election for","Ward 1 - Tweeddale West"
"Date","08 May 2017"
"Number to be elected",3
"Valid votes",4610
"Invalid votes",0
"Quota",1153.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","HEATHER ANDERSON (SNP)",,"Michael NEEDHAM (Ind)",,"Tommy DAVIDSON (Ind)",,"Julia REID (Lab)",,"Catriona HAMILTON (Grn)",,"JOHN ANDERSON (C)",
"HEATHER ANDERSON (SNP)",1160,-7.00000,1153.00000,,1153.00000,,1153.00000,,1153.00000,,1153.00000,,1153.00000,"Elected"
"JOHN ANDERSON (C)",984,+0.15075,984.15075,+3.00000,987.15075,+16.01206,1003.16281,+15.02412,1018.18693,+12.02412,1030.21105,-1030.21105,"-",
"Kris CHAPMAN (LD)",768,+1.16982,769.16982,+14.00000,783.16982,+37.07236,820.24218,+71.13266,891.37484,+181.76679,1073.14163,+119.06030,1192.20193,"Elected"
"Tommy DAVIDSON (Ind)",170,+0.57285,170.57285,+20.02412,190.59697,-190.59697,"-",,"-",,"-",,"-",
"Catriona HAMILTON (Grn)",218,+3.32856,221.32856,+17.05427,238.38283,+24.22311,262.60594,+70.20502,332.81096,-332.81096,"-",,"-",
"Michael NEEDHAM (Ind)",73,+0.09648,73.09648,-73.09648,"-",,"-",,"-",,"-",,"-",
"Julia REID (Lab)",201,+0.53667,201.53667,+4.00000,205.53667,+19.04221,224.57888,-224.57888,"-",,"-",,"-",
"Eric SMALL (C)",1036,+0.18693,1036.18693,+4.00603,1040.19296,+57.05427,1097.24723,+18.02412,1115.27135,+8.01809,1123.28944,+805.01809,1928.30753,"Elected"
"Non-transferable", ,+0.95794,0.95794,+11.01206,11.97000,+37.19296,49.16296,+50.19296,99.35592,+131.00196,230.35788,+106.13266,336.49054,
"Totals",4610,,4610.00000,,4610.00000,,4610.00000,,4610.00000,,4610.00000,,4610.00000
