"Election for","Ward 4 - Selkirkshire"
"Date","08 May 2017"
"Number to be elected",3
"Valid votes",4007
"Invalid votes",0
"Quota",1002.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Michelle BALLANTYNE (C)",,"Barbra HARVIE (Grn)",,"David BLACK (Ind)",,"Nancy NORMAN (LD)",,"Scott REDPATH (Lab)",,"Elaine THORNTON-NICOL (SNP)",,"Kenneth GUNN (Ind)",,"Trevor ADAMS (C)",
"Trevor ADAMS (C)",606,+54.59076,660.59076,+2.29232,662.88308,+12.14616,675.02924,+19.29232,694.32156,+18.21924,712.54080,+0.87439,713.41519,+49.23690,762.65209,-762.65209,"-",
"Michelle BALLANTYNE (C)",1081,-79.00000,1002.00000,,1002.00000,,1002.00000,,1002.00000,,1002.00000,,1002.00000,,1002.00000,,1002.00000,"Elected"
"David BLACK (Ind)",123,+1.02312,124.02312,+1.00000,125.02312,-125.02312,"-",,"-",,"-",,"-",,"-",,"-",
"Gordon EDGAR (Ind)",514,+10.23120,524.23120,+7.07308,531.30428,+37.21924,568.52352,+38.51156,607.03508,+38.58464,645.61972,+6.25118,651.87090,+195.44060,847.31150,+235.94494,1083.25644,"Elected"
"Kenneth GUNN (Ind)",392,+4.45788,396.45788,+7.00000,403.45788,+13.14616,416.60404,+12.29232,428.89636,+27.14616,456.04252,+7.49549,463.53801,-463.53801,"-",,"-",
"Barbra HARVIE (Grn)",122,+0.80388,122.80388,-122.80388,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Nancy NORMAN (LD)",134,+1.60776,135.60776,+27.21924,162.82700,+8.00000,170.82700,-170.82700,"-",,"-",,"-",,"-",,"-",
"Scott REDPATH (Lab)",147,+1.09620,148.09620,+17.14616,165.24236,+11.00000,176.24236,+43.14616,219.38852,-219.38852,"-",,"-",,"-",,"-",
"Elaine THORNTON-NICOL (SNP)",888,+0.87696,888.87696,+52.00000,940.87696,+15.14616,956.02312,+27.00000,983.02312,+48.00000,1031.02312,-29.02312,1002.00000,,1002.00000,,1002.00000,"Elected"
"Non-transferable", ,+4.31224,4.31224,+9.07308,13.38532,+28.36540,41.75072,+30.58464,72.33536,+87.43848,159.77384,+14.40206,174.17590,+218.86051,393.03641,+526.70715,919.74356,
"Totals",4007,,4007.00000,,4007.00000,,4007.00000,,4007.00000,,4007.00000,,4007.00000,,4007.00000,,4007.00000
