"Election for","Ward 8 - Kelso & District"
"Date","08 May 2017"
"Number to be elected",3
"Valid votes",4326
"Invalid votes",0
"Quota",1082.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Tom WEATHERSTON (C)",,"Simon MOUNTFORD (C)",,"Colin MCGRATH (Ind)",,"Sally PRENTICE (Lab)",,"Colin SHAUGHNESSY (Grn)",,"Ian H AITCHISON (Ind)",,"Alison LAMOND (SNP)",
"Ian H AITCHISON (Ind)",333,+28.85294,361.85294,+0.20700,362.05994,+26.70358,388.76352,+12.32454,401.08806,+22.75542,423.84348,-423.84348,"-",,"-",
"Alison LAMOND (SNP)",713,+2.14520,715.14520,+0.00736,715.15256,+16.21544,731.36800,+18.00184,749.36984,+60.00000,809.36984,+40.75266,850.12250,-850.12250,"-",
"Colin MCGRATH (Ind)",104,+10.40422,114.40422,+0.07544,114.47966,-114.47966,"-",,"-",,"-",,"-",,"-",
"Simon MOUNTFORD (C)",1083,,1083.00000,-1.00000,1082.00000,,1082.00000,,1082.00000,,1082.00000,,1082.00000,,1082.00000,"Elected"
"Sally PRENTICE (Lab)",116,+3.00328,119.00328,+0.02852,119.03180,+5.32270,124.35450,-124.35450,"-",,"-",,"-",,"-",
"Euan ROBSON (LD)",636,+38.82812,674.82812,+0.22816,675.05628,+25.15256,700.20884,+41.08548,741.29432,+46.86084,788.15516,+167.10430,955.25946,+415.07996,1370.33942,"Elected"
"Colin SHAUGHNESSY (Grn)",129,+3.64684,132.64684,+0.02668,132.67352,+11.21544,143.88896,+20.10818,163.99714,-163.99714,"-",,"-",,"-",
"Tom WEATHERSTON (C)",1212,-130.00000,1082.00000,,1082.00000,,1082.00000,,1082.00000,,1082.00000,,1082.00000,,1082.00000,"Elected"
"Non-transferable", ,+43.11940,43.11940,+0.42684,43.54624,+29.86994,73.41618,+32.83446,106.25064,+34.38088,140.63152,+215.98652,356.61804,+435.04254,791.66058,
"Totals",4326,,4326.00000,,4326.00000,,4326.00000,,4326.00000,,4326.00000,,4326.00000,,4326.00000
