"Election for","Ward 3 - Galashiels and District"
"Date","08 May 2017"
"Number to be elected",4
"Valid votes",4533
"Invalid votes",0
"Quota",907.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Euan JARDINE (C)",,"David SHARP (Lab)",,"Caledonia BHATIA (LD)",,"Bill WHITE (Ind)",,"Sandy AITCHISON (Ind)",,"John MITCHELL (SNP)",
"Sandy AITCHISON (Ind)",539,+73.89904,612.89904,+27.38384,640.28288,+92.09092,732.37380,+183.79294,916.16674,-9.16674,907.00000,,907.00000,"Elected"
"Andy ANDERSON (SNP)",907,,907.00000,,907.00000,,907.00000,,907.00000,,907.00000,,907.00000,"Elected"
"Caledonia BHATIA (LD)",249,+67.04550,316.04550,+53.13132,369.17682,-369.17682,"-",,"-",,"-",,"-",
"Euan JARDINE (C)",1292,-385.00000,907.00000,,907.00000,,907.00000,,907.00000,,907.00000,,907.00000,"Elected"
"John MITCHELL (SNP)",523,+7.74748,530.74748,+28.19192,558.93940,+38.78788,597.72728,+49.59596,647.32324,+1.57788,648.90112,-648.90112,"-",
"Harry SCOTT (Ind)",460,+57.80812,517.80812,+14.59596,532.40408,+60.02526,592.42934,+160.64648,753.07582,+3.88746,756.96328,+231.29768,988.26096,"Elected"
"David SHARP (Lab)",167,+21.45456,188.45456,-188.45456,"-",,"-",,"-",,"-",,"-",
"Bill WHITE (Ind)",396,+45.29296,441.29296,+20.78788,462.08084,+59.91920,522.00004,-522.00004,"-",,"-",,"-",
"Non-transferable", ,+111.75234,111.75234,+44.36364,156.11598,+118.35356,274.46954,+127.96466,402.43420,+3.70140,406.13560,+417.60344,823.73904,
"Totals",4533,,4533.00000,,4533.00000,,4533.00000,,4533.00000,,4533.00000,,4533.00000
