"Election for","Stirling North"
"Date","11 Jun 2020"
"Number to be elected",4
"Valid votes",4631
"Invalid votes",0
"Quota",927.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Ross OXBURGH (C)",,"Susan MCGILL (SNP)",,"James MCDONALD (Ind)",,"Fayzan REHMAN (LD)",,"Jen PRESTON (Lab)",,"Danny GIBSON (Lab)",,"Chloe CAMPBELL (Grn)",
"Chloe CAMPBELL (Grn)",496,+15.03600,511.03600,+8.07283,519.10883,+24.75178,543.86061,+70.15169,614.01230,+23.22894,637.24124,+18.06068,655.30192,-655.30192,"-",
"Danny GIBSON (Lab)",616,+49.11760,665.11760,+3.61470,668.73230,+13.51080,682.24310,+47.53000,729.77310,+264.31536,994.08846,-67.08846,927.00000,,927.00000,"Elected"
"James MCDONALD (Ind)",85,+32.32740,117.32740,+0.96392,118.29132,-118.29132,"-",,"-",,"-",,"-",,"-",
"Susan MCGILL (SNP)",1054,,1054.00000,-127.00000,927.00000,,927.00000,,927.00000,,927.00000,,927.00000,,927.00000,"Elected"
"Ross OXBURGH (C)",1237,-310.00000,927.00000,,927.00000,,927.00000,,927.00000,,927.00000,,927.00000,,927.00000,"Elected"
"Jen PRESTON (Lab)",266,+36.83820,302.83820,+3.01225,305.85045,+7.00720,312.85765,+36.77820,349.63585,-349.63585,"-",,"-",,"-",
"Fayzan REHMAN (LD)",150,+55.63320,205.63320,+0.48196,206.11516,+16.26500,222.38016,-222.38016,"-",,"-",,"-",,"-",
"Jim THOMSON (SNP)",727,+13.28180,740.28180,+105.30826,845.59006,+16.60245,862.19251,+22.99518,885.18769,+14.46512,899.65281,+6.78783,906.44064,+339.82416,1246.26480,"Elected"
"Non-transferable", ,+107.76580,107.76580,+5.54608,113.31188,+40.15409,153.46597,+44.92509,198.39106,+47.62643,246.01749,+42.23995,288.25744,+315.47776,603.73520,
"Totals",4631,,4631.00000,,4631.00000,,4631.00000,,4631.00000,,4631.00000,,4631.00000,,4631.00000
