"Election for","Leven"
"Date","14 Jun 2020"
"Number to be elected",4
"Valid votes",5893
"Invalid votes",0
"Quota",1179.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Ian DICKSON (SNP)",,"Jim BOLLAN (WDuns)",,"Sean QUINN (Grn)",,"George DRUMMOND (LD)",,"Peter PARLANE (C)",,"Michelle Marie MCGINTY (Lab)",
"Jim BOLLAN (WDuns)",1291,,1291.00000,-112.00000,1179.00000,,1179.00000,,1179.00000,,1179.00000,,1179.00000,"Elected"
"Ian DICKSON (SNP)",1353,-174.00000,1179.00000,,1179.00000,,1179.00000,,1179.00000,,1179.00000,,1179.00000,"Elected"
"George DRUMMOND (LD)",133,+2.18620,135.18620,+8.67500,143.86120,+9.47170,153.33290,-153.33290,"-",,"-",,"-",
"Caroline MCALLISTER (SNP)",673,+152.00520,825.00520,+25.85150,850.85670,+52.21550,903.07220,+23.89240,926.96460,+15.90935,942.87395,+29.60030,972.47425,"Elected"
"Michelle Marie MCGINTY (Lab)",739,+3.60080,742.60080,+16.22225,758.82305,+12.73585,771.55890,+36.99220,808.55110,+125.34310,933.89420,-933.89420,"-",
"John Kelly MILLAR (Lab)",946,+2.57200,948.57200,+18.91150,967.48350,+10.99305,978.47655,+22.12775,1000.60430,+174.77685,1175.38115,+767.20870,1942.58985,"Elected"
"Peter PARLANE (C)",655,+0.51440,655.51440,+7.63400,663.14840,+6.56235,669.71075,+34.25245,703.96320,-703.96320,"-",,"-",
"Sean QUINN (Grn)",103,+5.27260,108.27260,+12.40525,120.67785,-120.67785,"-",,"-",,"-",,"-",
"Non-transferable", ,+7.84880,7.84880,+22.30050,30.14930,+28.69940,58.84870,+36.06810,94.91680,+387.93390,482.85070,+137.08520,619.93590,
"Totals",5893,,5893.00000,,5893.00000,,5893.00000,,5893.00000,,5893.00000,,5893.00000
