"Election for","Ward 5 - East Livingston and East Calder"
"Date","14 Apr 2020"
"Number to be elected",4
"Valid votes",7363
"Invalid votes",0
"Quota",1473.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Dave KING (Lab)",,"Damian TIMSON (C)",,"Frank ANDERSON (SNP)",,"Charles CORSER (LD)",,"Neal DRUMMOND (Grn)",,"Veronica SMITH (SNP)",
"Frank ANDERSON (SNP)",1479,,1479.00000,,1479.00000,-6.00000,1473.00000,,1473.00000,,1473.00000,,1473.00000,"Elected"
"Charles CORSER (LD)",198,+9.94140,207.94140,+30.76086,238.70226,+0.09720,238.79946,-238.79946,"-",,"-",,"-",
"Neal DRUMMOND (Grn)",265,+8.99460,273.99460,+10.25362,284.24822,+0.27540,284.52362,+81.60314,366.12676,-366.12676,"-",,"-",
"Carl JOHN (SNP)",972,+21.93420,993.93420,+4.53700,998.47120,+3.56805,1002.03925,+11.85256,1013.89181,+91.52893,1105.42074,+542.28439,1647.70513,"Elected"
"Dave KING (Lab)",1749,-276.00000,1473.00000,,1473.00000,,1473.00000,,1473.00000,,1473.00000,,1473.00000,"Elected"
"Scott ROGERS (Lab)",525,+199.30140,724.30140,+41.19596,765.49736,+0.10935,765.60671,+62.89477,828.50148,+89.31625,917.81773,+23.21964,941.03737,
"Veronica SMITH (SNP)",555,+6.15420,561.15420,+2.44998,563.60418,+1.66455,565.26873,+12.69881,577.96754,+73.59187,651.55941,-651.55941,"-",
"Damian TIMSON (C)",1620,,1620.00000,-147.00000,1473.00000,,1473.00000,,1473.00000,,1473.00000,,1473.00000,"Elected"
"Non-transferable", ,+29.67420,29.67420,+57.80258,87.47678,+0.28545,87.76223,+69.75018,157.51241,+111.68971,269.20212,+86.05538,355.25750,
"Totals",7363,,7363.00000,,7363.00000,,7363.00000,,7363.00000,,7363.00000,,7363.00000
