Election Type,Year,Ward,Party,Representative,Number of votes,Turnout,% of vote,Elected
Parliamentary ,2010,N/A,Labour,Derek Twigg,23843,Unknown,57.7,E
Parliamentary ,2010,N/A,Liberal Democrats,Frank Harasiwaka,5718,Unknown,13.8,
Parliamentary ,2010,N/A,Conservative,Ben Jones,8339,Unknown,20.2,
Parliamentary ,2010,N/A,Green Party,Jim Craig,647,Unknown,1.6,
Parliamentary ,2010,N/A,UKIP,John Hamilton Moore,1228,Unknown,3,
Parliamentary ,2010,N/A,British National Party,Andrew Anthony Taylor,1563,Unknown,3.8,
Local,2011,Appleton,Labour,Ged Philbin,1197,Unknown,84.4,E
Local,2011,Appleton,Conservative,Geoffrey Charles Swift,222,Unknown,15.6,
Local,2011,Beechwood,Conservative,Keith Davies,371,Unknown,26.7,
Local,2011,Beechwood,Labour,Christopher Anthony Loftus,521,Unknown,37.4,E
Local,2011,Beechwood,Liberal Democrats,Ulfar Norddahl,500,Unknown,35.9,
Local,2011,Birchfield,Labour,Sandra Baker,1072,Unknown,57.1,E
Local,2011,Birchfield,Conservative,David John Findon,804,Unknown,42.9,
Local,2011,Broadheath,Liberal Democrats,Geoff Brown,81,Unknown,5.2,
Local,2011,Broadheath,Labour,Bob Gilligan,1220,Unknown,79,E
Local,2011,Broadheath,Conservative,Ruth Elizabeth Rowan,244,Unknown,15.8,
Local,2011,Daresbury,Conservative,John Christopher Bradshaw,727,Unknown,53.8,E
Local,2011,Daresbury,Labour,Mike Eakins,463,Unknown,34.2,
Local,2011,Daresbury,Liberal Democrats,Joanne King,162,Unknown,12,
Local,2011,Ditton,Labour,Shaun Michael Osborne,1372,Unknown,73.5,E
Local,2011,Ditton,Conservative,Colin David Rowan,494,Unknown,26.5,
Local,2011,Farnworth,Labour,Angela Mcinerney,1256,Unknown,57,E
Local,2011,Farnworth,Conservative,Richard Peter Murray,948,Unknown,43,
Local,2011,Grange,Labour,Joan Lowe,1004,Unknown,71.9,E
Local,2011,Grange,Liberal Democrats,Gareth Stockton,393,Unknown,28.1,
Local,2011,Halton Brook,Halton Local Independent Party,Peter William Cumpper,323,Unknown,20.7,
Local,2011,Halton Brook,Labour,Carol Patricia Plumpton Walsh,991,Unknown,63.4,E
Local,2011,Halton Brook,Liberal Democrats,Louise Jane Whitley,250,Unknown,16,
Local,2011,Halton Castle,Halton Local Independent Party,Peter Blackmore,281,Unknown,18.5,
Local,2011,Halton Castle,Liberal Democrats,Simon Balfour Charlesworth,175,Unknown,11.5,
Local,2011,Halton Castle,Labour,Arthur Roy Cole,1067,Unknown,70.1,E
Local,2011,Halton Lea,Conservative,Anthony James Dalton,200,Unknown,13.1,
Local,2011,Halton Lea,Labour,Kathleen Bernadette Loftus,1228,Unknown,80.6,E
Local,2011,Halton Lea,Liberal Democrats,Marina Thornhill,96,Unknown,6.3,
Local,2011,Halton View,Conservative,Paul Raymond Doherty,391,Unknown,20.6,
Local,2011,Halton View,Labour,Stan Parker,1508,Unknown,79.4,E
Local,2011,Heath,Labour,Pauline Hignett,698,Unknown,35.9,
Local,2011,Heath,Liberal Democrats,Margaret Anna Ratcliffe,856,Unknown,44.1,E
Local,2011,Heath,Conservative,Bill Ring,388,Unknown,20,
Local,2011,Hough Green,Conservative,Paul David Griffiths,405,Unknown,22.6,
Local,2011,Hough Green,Labour,Kevan Peter Wainwright,1391,Unknown,77.4,E
Local,2011,Mersey,Labour,Norman Plumpton Walsh,984,Unknown,62.6,E
Local,2011,Mersey,Liberal Democrats,Ernest Ratcliffe,589,Unknown,37.4,
Local,2011,Norton North,Conservative,Kay Christine Alexander,281,Unknown,16.1,
Local,2011,Norton North,Liberal Democrats,Diane Marie Inch,613,Unknown,35.1,
Local,2011,Norton North,Labour,Geoff Zygadllo,850,Unknown,48.7,E
Local,2011,Norton South,Conservative,Pam Bleasdale,137,Unknown,9.5,
Local,2011,Norton South,Labour,David Edward Cargill,1223,Unknown,84.8,E
Local,2011,Norton South,Liberal Democrats,Andrew Whitley,82,Unknown,5.7,
Local,2011,Riverside,Liberal Democrats,Paul Nicholas Meara,175,Unknown,17.2,
Local,2011,Riverside,Labour,Pamela Wallace,843,Unknown,82.8,E
