Election for,Aberdeen 2022 - Dyce/Bucksburn/Danestone Ward,,,,,,,,,,,,,
Date,21 Mar 2025,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,
Valid votes,6598,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1320,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Gill AL-SAMARAI (SNP),,Avril MACKENZIE (C),,Neil MACGREGOR (SNP),,Amy-Marie STRATTON (ScFam),,William BALL (Grn),,Braiden SMITH (C),,
Gill AL-SAMARAI (SNP),1538,-218,1320,,1320,,1320,,1320,,1320,,1320,Elected
Avril MACKENZIE (C),1387,,1387,-67,1320,,1320,,1320,,1320,,1320,Elected
Neil MACGREGOR (SNP),1188,174.62368,1362.62368,,1362.62368,-42.62368,1320,,1320,,1320,,1320,Elected
Barney CROCKETT (Lab),1174,10.77224,1184.77224,2.9946,1187.76684,6.11138,1193.87822,13.34754,1207.22576,103.93135,1311.15711,97.18897,1408.34608,Elected
Peter John HEALD (LD),579,5.38612,584.38612,3.4293,587.81542,4.43328,592.2487,16.32362,608.57232,109.015,717.58732,132.37901,849.96633,
Braiden SMITH (C),341,0.85044,341.85044,56.0763,397.92674,0.81717,398.74391,20.27348,419.01739,14.47129,433.48868,-433.48868,-,
William BALL (Grn),296,16.44184,312.44184,0.4347,312.87654,14.68659,327.56313,17.61926,345.18239,-345.18239,-,,-,
Amy-Marie STRATTON (ScFam),95,0.99218,95.99218,0.3381,96.33028,2.05319,98.38347,-98.38347,-,,-,,-,
Non-transferable, ,8.9335,8.9335,3.727,12.6605,14.52207,27.18257,30.81957,58.00214,117.76475,175.76689,203.9207,379.68759,
Totals,6598,,6598,,6598,,6598,,6598,,6598,,6598,
 ,,,,,,,,,,,,,,
