Election for,Aberdeen 2022 - Tillydrone/Seaton/Old Aberdeen Ward,,,,,,,,,,,,,,,,,,,
Date,21 Mar 2025,,,,,,,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,,,,,,,
Valid votes,2616,,,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,,,
Quota,655,,,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,Stage,10,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Alexander MCLELLAN (SNP),,Graham Charles ELDER (ScFam),,Robert REID (Alba),,Peter NICOL (Ind),,Shona SIMPSON (Lab),,Ross James GRANT (Lab),,Eileen Frances DELANEY (LD),,Ashish MALIK (Grn),,Vish ARCHER (C),,
Alexander MCLELLAN (SNP),911,-256,655,,655,,655,,655,,655,,655,,655,,655,,655,Elected
Ross James GRANT (Lab),582,20.513,602.513,9.843,612.356,9.405,621.761,13.248,635.009,73.686,708.695,-53.695,655,,655,,655,,655,Elected
Vish ARCHER (C),281,2.248,283.248,10.562,293.81,7.562,301.372,14.281,315.653,6.281,321.934,5.19426,327.12826,30.78431,357.91257,17.10172,375.01429,-375.01429,-,
Kairin VAN SWEEDEN (SNP),222,173.377,395.377,6.562,401.939,13.81,415.749,10.091,425.84,9.529,435.369,6.58807,441.95707,18.79961,460.75668,151.46456,612.22124,53.1237,665.34494,Elected
Ashish MALIK (Grn),192,13.207,205.207,10.281,215.488,10.843,226.331,11.562,237.893,7.562,245.455,5.71269,251.16769,31.00069,282.16838,-282.16838,-,,-,
Eileen Frances DELANEY (LD),118,3.653,121.653,4.281,125.934,4.562,130.496,4.562,135.058,10.281,145.339,8.82825,154.16725,-154.16725,-,,-,,-,
Shona SIMPSON (Lab),98,6.182,104.182,4,108.182,7.562,115.744,11.562,127.306,-127.306,-,,-,,-,,-,,-,
Peter NICOL (Ind),77,8.149,85.149,9.281,94.43,8.562,102.992,-102.992,-,,-,,-,,-,,-,,-,
Graham Charles ELDER (ScFam),69,3.372,72.372,-72.372,-,,-,,-,,-,,-,,-,,-,,-,
Robert REID (Alba),66,8.149,74.149,6,80.149,-80.149,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,17.15,17.15,11.562,28.712,17.843,46.555,37.686,84.241,19.967,104.208,27.37173,131.57973,73.58264,205.16237,113.6021,318.76447,321.89059,640.65506,
Totals,2616,,2616,,2616,,2616,,2616,,2616,,2616,,2616,,2616,,2616,
 ,,,,,,,,,,,,,,,,,,,,
