Election for,Aberdeen 2022 - Lower Deeside Ward,,,,,,,,,
Date,21 Mar 2025,,,,,,,,,
Number to be elected,3,,,,,,,,,
Valid votes,6886,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1722,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Daniel VERHAMME (Grn),,Sue MULKERRIN (LD),,M. Tauqeer MALIK (Lab),,Gillian TEBBEREN (C),,
M. Tauqeer MALIK (Lab),1640,58,1698,106,1804,-82,1722,,1722,Elected
Marie Louise BOULTON (Ind),1496,28,1524,98,1622,29.40615,1651.40615,82.22725,1733.6334,Elected
Duncan MASSEY (C),1194,3,1197,35,1232,10.31715,1242.31715,767.1817,2009.49885,Elected
Ewan Anderson RITCHIE (SNP),1051,141,1192,42,1234,13.4532,1247.4532,5.1818,1252.635,
Gillian TEBBEREN (C),882,8,890,20,910,3.0906,913.0906,-913.0906,-,
Sue MULKERRIN (LD),316,47,363,-363,-,,-,,-,
Daniel VERHAMME (Grn),307,-307,-,,-,,-,,-,
Non-transferable,,22,22,62,84,25.7329,109.7329,58.49985,168.23275,
Totals,6886,,6886,,6886,,6886,,6886,
 ,,,,,,,,,,
