Election for,Aberdeen 2022 - Airyhall/Broomhill/Garthdee Ward,,,,,,,
Date,21 Mar 2025,,,,,,,
Number to be elected,3,,,,,,,
Valid votes,5872,,,,,,,
Invalid votes,0,,,,,,,
Quota,1469,,,,,,,
OpenSTV,1.7,,,,,,,
Election rules,Scottish STV,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,
 ,First,Surplus of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Ian YUILL (LD),,Derek DAVIDSON (SNP),,Harry RAFFERTY (Grn),,
Ian YUILL (LD),2146,-677,1469,,1469,,1469,Elected
Derek DAVIDSON (SNP),1615,,1615,-146,1469,,1469,Elected
Ryan HOUGHTON (C),1240,215.15054,1455.15054,7.0512,1462.20174,21.91422,1484.11596,Elected
Logan Andrew MACHELL (Lab),627,175.08585,802.08585,33.2672,835.35305,201.54766,1036.90071,
Harry RAFFERTY (Grn),244,101.58134,345.58134,70.964,416.54534,-416.54534,-,
Non-transferable, ,185.18227,185.18227,34.7176,219.89987,193.08346,412.98333,
Totals,5872,,5872,,5872,,5872,
 ,,,,,,,,
