Election for,Aberdeenshire 2022 - Ward 7 - Turriff and District,,,,,,,,,
Date,31 Aug 2024,,,,,,,,,
Number to be elected,4,,,,,,,,,
Valid votes,4515,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,904,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Iain Walker TAYLOR (C),,Anne STIRLING (LD),,Kathryn Louise VINCENT (Grn),,Susan DUBOIS (SNP),,
Iain Walker TAYLOR (C),1075,-171,904,,904,,904,,904,Elected
Anne STIRLING (LD),1059,,1059,-155,904,,904,,904,Elected
Alastair FORSYTH (SNP),792,6.20334,798.20334,26.63752,824.84086,43.68352,868.52438,755.85604,1624.38042,Elected
Susan DUBOIS (SNP),740,1.11342,741.11342,9.5134,750.62682,72.1226,822.74942,-822.74942,-,
Gordon LANG (C),690,148.7211,838.7211,42.29804,881.01914,13.83504,894.85418,9.15906,904.01324,Elected
Kathryn Louise VINCENT (Grn),159,1.74966,160.74966,25.46664,186.2163,-186.2163,-,,-,
Non-transferable, ,13.21248,13.21248,51.0844,64.29688,56.57514,120.87202,57.73432,178.60634,
Totals,4515,,4515,,4515,,4515,,4515,
 ,,,,,,,,,,
