Election for,Aberdeenshire 2022 - Ward 9 - Ellon and District,,,,,,,,,,,,,
Date,31 Aug 2024,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,
Valid votes,5488,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1098,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Isobel DAVIDSON (LD),,Louise MCALLISTER (SNP),,Craig William STEWART (Grn),,Mark LAPPIN (Lab),,John CRAWLEY (C),,Josh GALL (SNP),,
Isobel DAVIDSON (LD),1205,-107,1098,,1098,,1098,,1098,,1098,,1098,Elected
Louise MCALLISTER (SNP),1139,,1139,-41,1098,,1098,,1098,,1098,,1098,Elected
John CRAWLEY (C),1050,13.14092,1063.14092,0.79178,1063.9327,5.64071,1069.57341,70.85396,1140.42737,-42.42737,1098,,1098,Elected
Gillian OWEN (C),906,28.67917,934.67917,1.36762,936.04679,9.50943,945.55622,47.62358,993.1798,34.55422,1027.73402,174.03939,1201.77341,Elected
Josh GALL (SNP),599,12.87455,611.87455,33.43471,645.30926,126.37854,771.6878,99.56963,871.25743,1.51429,872.77172,-872.77172,-,
Mark LAPPIN (Lab),348,21.66476,369.66476,1.36762,371.03238,72.65544,443.68782,-443.68782,-,,-,,-,
Craig William STEWART (Grn),241,14.02882,255.02882,2.77123,257.80005,-257.80005,-,,-,,-,,-,
Non-transferable, ,16.61178,16.61178,1.26704,17.87882,43.61593,61.49475,225.64065,287.1354,6.35886,293.49426,698.73233,992.22659,
Totals,5488,,5488,,5488,,5488,,5488,,5488,,5488,
 ,,,,,,,,,,,,,,
