Election for,Aberdeenshire 2022 - Ward 10 - West Garioch,,,,,,,,,,,,,,,
Date,31 Aug 2024,,,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,,,
Valid votes,4237,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1060,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Moray Charles GRANT (SNP),,Sam PAYNE (C),,Elaine Helen Grace MITCHELL (Alba),,Anne MANSFIELD (Grn),,Sebastian LESLIE (Ind),,Sasha BRYDON (Lab),,Sheena Margaret LONCHAY (Ind),,
Moray Charles GRANT (SNP),1247,-187,1060,,1060,,1060,,1060,,1060,,1060,,1060,Elected
Sam PAYNE (C),1150,,1150,-90,1060,,1060,,1060,,1060,,1060,,1060,Elected
Hazel Linda SMITH (LD),539,21.74275,560.74275,26.84318,587.58593,10.48403,598.06996,85.17023,683.24019,53.55821,736.7984,219.28441,956.08281,362.14693,1318.22974,Elected
Sheena Margaret LONCHAY (Ind),451,17.24425,468.24425,11.26944,479.51369,13.25582,492.76951,43.33108,536.10059,159.46921,695.5698,77.58524,773.15504,-773.15504,-,
Sasha BRYDON (Lab),324,23.84205,347.84205,9.3912,357.23325,7.5998,364.83305,59.92431,424.75736,25.92789,450.68525,-450.68525,-,,-,
Sebastian LESLIE (Ind),273,8.84705,281.84705,16.8259,298.67295,7.4995,306.17245,20.17656,326.34901,-326.34901,-,,-,,-,
Anne MANSFIELD (Grn),182,69.2769,251.2769,1.79998,253.07688,25.4975,278.57438,-278.57438,-,,-,,-,,-,
Elaine Helen Grace MITCHELL (Alba),71,17.3942,88.3942,0.7826,89.1768,-89.1768,-,,-,,-,,-,,-,
Non-transferable, ,28.6528,28.6528,23.0877,51.7405,24.84015,76.58065,69.9722,146.55285,87.3937,233.94655,153.8156,387.76215,411.00811,798.77026,
Totals,4237,,4237,,4237,,4237,,4237,,4237,,4237,,4237,
 ,,,,,,,,,,,,,,,,
