Election for,Aberdeenshire 2022 - Ward 11 - Inverurie and District,,,
Date,31 Aug 2024,,,
Number to be elected,4,,,
Valid votes,4969,,,
Invalid votes,0,,,
Quota,994,,,
OpenSTV,1.7,,,
Election rules,Scottish STV,,,
 ,,Stage,2,
 ,First,Surplus of,,
Candidates,Preferences,David KEATING (C),,
David KEATING (C),1276,-282,994,Elected
Neil BAILLIE (SNP),1200,,1200,Elected
Judy Margaret WHYTE (Ind),1120,,1120,Elected
Marion Jane Muir EWENSON (LD),843,160.004,1003.004,Elected
Archie PEEBLES (SNP),343,5.083,348.083,
Denise May ROTHNIE (Grn),187,7.735,194.735,
Non-transferable, ,109.178,109.178,
Totals,4969,,4969,
 ,,,,
