Election for,Aberdeenshire 2022 - Ward 13 - Westhill and District,,,,,,,
Date,31 Aug 2024,,,,,,,
Number to be elected,4,,,,,,,
Valid votes,5706,,,,,,,
Invalid votes,0,,,,,,,
Quota,1142,,,,,,,
OpenSTV,1.7,,,,,,,
Election rules,Scottish STV,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,
 ,First,Surplus of,,Surplus of,,Surplus of,,
Candidates,Preferences,Ron MCKAIL (C),,Iris Margaret WALKER (LD),,Fatima JOJI (SNP),,
Ron MCKAIL (C),1655,-513,1142,,1142,,1142,Elected
Iris Margaret WALKER (LD),1498,,1498,-356,1142,,1142,Elected
Fatima JOJI (SNP),1430,,1430,,1430,-288,1142,Elected
Craig MILLER (C),605,445.41252,1050.41252,84.36575,1134.77827,9.06255,1143.84082,Elected
Lesley YOUNG (Lab),434,20.76732,454.76732,149.2442,604.01152,100.89639,704.90791,
Colin MCKAY (Alba),48,4.6494,52.6494,8.5554,61.2048,39.47244,100.67724,
Stephen William CAMERON (IndScot),36,2.16972,38.16972,8.5554,46.72512,58.00032,104.72544,
Non-transferable, ,40.00104,40.00104,105.27925,145.28029,80.5683,225.84859,
Totals,5706,,5706,,5706,,5706,
 ,,,,,,,,
