Election for,"Aberdeenshire 2022 - Ward 15 - Aboyne, Upper Deeside and Donside",,,,,,,,,,,
Date,31 Aug 2024,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,4841,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1211,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Exclusion of,,Exclusion of,,Surplus of,,Surplus of,,Exclusion of,,
Candidates,Preferences,John LAWSON (Lab),,Claudia LEITH (C),,Sarah BROWN (C),,Geva BLACKETT (Ind),,Peter John ARGYLE (LD),,
Geva BLACKETT (Ind),1098,29,1127,46,1173,99.22195,1272.22195,-61.22195,1211,,1211,Elected
Anouk KLOPPERT (SNP),1049,42,1091,7,1098,6.4162,1104.4162,13.50262,1117.91882,340.98819,1458.90701,Elected
Sarah BROWN (C),1029,11,1040,531,1571,-360,1211,,1211,,1211,Elected
Peter John ARGYLE (LD),846,62,908,42,950,113.88755,1063.88755,26.65336,1090.54091,-1090.54091,-,
Claudia LEITH (C),640,13,653,-653,-,,-,,-,,-,
John LAWSON (Lab),179,-179,-,,-,,-,,-,,-,
Non-transferable,,22,22,27,49,140.4743,189.4743,21.06597,210.54027,749.55272,960.09299,
Totals,4841,,4841,,4841,,4841,,4841,,4841,
 ,,,,,,,,,,,,
